id,number,name,description,numCredits,numCredits,numCredits
2424,C I 416E,Supervised Student Teaching - Elementary: International Student Teaching - Intermediate  Grades,Supervised teaching experience in the elementary grades.,,arr,arr
2425,C I 416Z,Supervised Student Teaching  - Elementary: English as a Second Language,Supervised teaching experience in the elementary grades.,,arr,arr
2426,C I 417,Student Teaching,"Evaluation of instruction, lesson planning, and teaching in the liberal arts and sciences.",,arr,arr
2427,C I 417A,Student Teaching: Social Studies-Middle School,"Evaluation of instruction, lesson planning, and teaching in the liberal arts and sciences.",,arr,arr
2428,C I 417B,Student Teaching: Physical Sciences,"Evaluation of instruction, lesson planning, and teaching in physical sciences grades 5-12.",,arr,arr
2429,C I 417C,Student Teaching: Mathematics,"Evaluation of instruction, lesson planning, and teaching in the liberal arts and sciences.",,arr,arr
2430,C I 417D,Student Teaching: Biological Sciences,"Evaluation of instruction, lesson planning, and teaching in the liberal arts and sciences.",,arr,arr
2431,C I 417E,Student Teaching: English and Literature,"Full-time teaching in secondary English: long term and unit planning, lesson planning, classroom teaching practice in English language arts.",,arr,arr
2432,C I 417G,Student Teaching: World Language,"Evaluation of instruction, lesson planning, and teaching in world languages grades K-8.",,arr,arr
2433,C I 417J,Student Teaching: Earth Sciences,"Evaluation of instruction, lesson planning, and teaching in the liberal arts and sciences.",,arr,arr
2434,C I 417M,Student Teaching; Science-Basic,"Evaluation of instruction, lesson planning, and teaching in the liberal arts and sciences.",,arr,arr
2435,C I 417N,Student Teaching: International,"Evaluation of instruction, lesson planning, and teaching in the liberal arts and sciences.",,arr,arr
2436,C I 417P,Student Teaching: Social Studies-High School,"Evaluation of instruction, lesson planning, and teaching in the liberal arts and sciences.",,arr,arr
2437,C I 417R,Student Teaching: Music-Elementary,"Evaluation of instruction, lesson planning, and teaching in the liberal arts and sciences.",,arr,arr
2438,C I 417S,Student Teaching: Music-Secondary,"Evaluation of instruction, lesson planning, and teaching in the liberal arts and sciences.",,arr,arr
2439,C I 417Z,Student Teaching: English as Second Language,"Evaluation of instruction, lesson planning, and teaching in English as a Second Language grades 7-12.",,arr,arr
2440,C I 418,Secondary Science Methods I: A Research-Based Framework for Teaching Science,"Development of a research-based framework for teaching science that includes student goals, congruent student actions, the character and role of science inquiry, teaching behaviors and strategies, contemporary learning theories, and self evaluation.",,3,3
2441,C I 419,Secondary Science Methods II: Advancing A Research-Based Framework for Teaching Science,"Advancing a research-based framework for teaching science in a variety of school settings, emphasizing the teacher's role, the development and revision of science curriculum, exceptional learners, content area reading strategies, management strategies, technology and student assessment.",,3,3
2442,C I 420,"Bilingualism, Bilingual Education, and U.S. Mexican Youth","Introduction to research on bilingualism and examination of the social, historical, and political contexts of bilingual education in U.S. schools.  Attention to policy environment, school program structure, mode of classroom instruction, family and community context, and attainment of bilingualism and biculturalism for U.S. Mexican youth.",,3,3
2443,C I 426,Principles of Secondary Education,"The curriculum, human relations, student evaluation, support services, classroom management, organization of schools, legal aspects of schools, professionalism, and career planning.",,3,3
2444,C I 433,Teaching Social Studies in the Primary Grades,"Emphasis is placed on providing appropriate social studies learning experiences (e.g. curriculum content, instructional strategies, and assessment) for primary grade children.",,2,2
2445,C I 438,Teaching Mathematics in the Primary Grades,"Study, development, and application of current methods for providing appropriate mathematics learning experiences for primary grade children. Formal and informal assessment strategies and instructional methods for diverse learners.",,2,2
2446,C I 439,Teaching Science in the Primary Grades,"Study, development, and application of current methods for providing appropriate science learning experiences and processes for primary grade children. Formal and informal assessment strategies and instructional methods for diverse learners.",,2,2
2447,C I 443,The Teaching of Social Studies,"Emphasis is placed on providing appropriate social studies learning experiences (e.g. curriculum content, instructional strategies, and assessment) for primary and intermediate grade children.",,3,3
2448,C I 448,Teaching Children Mathematics,"Study, development, and application of current methods for providing appropriate mathematical learning experiences for primary and intermediate children. Includes critical examination of factors related to the teaching and learning of mathematics.",,3,3
2449,C I 449,The Teaching of Science,"Procedures for teaching science to children. Emphasis on developmental implications, teaching processes and methods, current programs, and assessment of learning in science.",,3,3
2450,C I 450,Ethnicity and Learning,Examination of cultural relevance in education. Development and application of strategies and techniques for implementing multicultural goals and multiethnic perspectives in PreK-12 school classroom settings.,,3,3
2451,C I 452,Assessment for Literacy and Learning,"Identification, analysis and correction of reading problems in five areas: print knowledge, integration of print knowledge, oral reading fluency, vocabulary, and comprehension.",,3,3
2452,C I 454,Emerging Topics in Learning Technologies,"Development and application of emerging technology topics related to digital learning.  Series of 1-3 credit on-line learning modules on topics such as grant writing, interactive on-line tools, social networking, gaming technologies, technology leadership in schools, and web/graphic design. Required for the Learning Technologies minor.",,42372,3-Jan
2453,C I 456,Integrating Technology into the Reading and Language Arts Curriculum,Methods and strategies used to integrate technology into the reading and language arts curriculum. Use and evaluation of reading and language arts software for elementary classrooms.,,3,3
2454,C I 468,Pre-Student Teaching Experience II,"Application of current methods, and instructional experiences with children in a supervised elementary, middle, or high school classroom while engaged in other methods courses. Clinical Experience Level 3.   Offered on a satisfactory-fail basis only.",,42371,2-Jan
2455,C I 468A,"Pre-Student Teaching Experience II: Primary Grades, Reading and Language Arts",Application of current methods and instructional experiences with children in a supervised K-3 elementary classroom while engaged in other elementary methods courses. Clinical Experience Level 3.   Offered on a satisfactory-fail basis only.,,1,1
2456,C I 468B,"Pre-Student Teaching Experience II: Intermediate Grades, Reading and Language Arts",Application of current methods and instructional experiences with children in a supervised 3-6 elementary classroom while engaged in other elementary methods courses. Clinical Experience Level 3.   Offered on a satisfactory-fail basis only.,,1,1
2457,C I 468C,"Pre-Student Teaching Experience II: Primary Grades, Mathematics","Application of current methods, and instructional experiences with children in a supervised K-3 elementary classroom while engaged in other elementary methods courses. Clinical Experience Level 3.   Offered on a satisfactory-fail basis only.",,1,1
2458,C I 468D,"Pre-Student Teaching Experience II: Intermediate Grades, Science",Application of current methods and instructional experiences with children in a supervised 3-6 elementary classroom while engaged in other elementary methods courses. Clinical Experience Level 3.   Offered on a satisfactory-fail basis only.,,1,1
2459,C I 468E,Pre-Student Teaching Experience II: World Languages,"Application of current methods, and instructional experiences with children in a supervised K-6 elementary classroom while engaged in other elementary methods courses. Clinical Experience Level 3.   Offered on a satisfactory-fail basis only.",,1,1
2460,C I 468F,"Pre-Student Teaching Experience II: Primary Grades Inclusive, Literacy",Application of current methods and instructional experiences with children in a supervised K-3 inclusive elementary classroom while engaged in other elementary methods courses. Clinical Experience Level 3.   Offered on a satisfactory-fail basis only.,,1,1
2461,C I 468G,"Pre-Student Teaching Experience II: Primary Grades Inclusive, Mathematics",Application of current methods and instructional experiences with children in a supervised K-3 inclusive elementary classroom while engaged in other elementary methods courses. Clinical Experience Level 3.   Offered on a satisfactory-fail basis only.,,1,1
2462,C I 468I,"Pre-Student Teaching Experience II: Primary Grades Inclusive, Science",Application of current methods and instructional experiences with children in a supervised K-3 inclusive elementary classroom while engaged in other elementary methods courses. Clinical Experience Level 3.   Offered on a satisfactory-fail basis only.,,1,1
2463,C I 468J,Pre-Student Teaching Experience II: Secondary Science I,Application of current methods and instructional experiences with children in a supervised grade 5-12 science classroom while engaged in other elementary methods courses. Clinical Supervision Level 3.   Offered on a satisfactory-fail basis only.,,2,2
2464,C I 468K,Pre-Student Teaching Experience II: Secondary Science II,Application of current methods and instructional experiences with children in a supervised 5-12 science classroom while engaged in other elementary methods courses. Clinical Experience Level 3.   Offered on a satisfactory-fail basis only.,,2,2
2465,C I 468R,"Pre-Student Teaching Experience II: Intermediate Grades, Reading Endorsement",Application of current methods and instructional experiences with children in a supervised 3-6 elementary classroom while engaged in other elementary methods courses. Clinical Experience Level 3.   Offered on a satisfactory-fail basis only.,,1,1
2466,C I 469,Pre-student Teaching Seminar,"Future teachers learn about teaching as they connect theory, practice and classroom experiences. Learning is supported with video-based seminars focused on effective classroom practices.   Offered on a satisfactory-fail basis only.",,1,1
2467,C I 480,Pre-Student Teaching Experience III,Observation and participation in a variety of school settings after admission to the teacher education program. Permission of area coordinator required prior to enrollment. (S/F grading may be used in some offerings of some sections.).,,42492,2-May
2468,C I 480A,Pre-Student Teaching Experience III: History/Social Sciences,Supervised participation in a 5-12 school setting. Permission of History/Social Sciences coordinator required prior to  enrollment. 1/2 day of time needed. Clinical Supervision Level 3.,,2,2
2469,C I 480B,Field Experience for Secondary Teaching Preparation: Physical Sciences,Observation and participation in a variety of school settings after admission to the teacher preparation program. Physical Sciences.,,5,5
2470,C I 480C,Pre-Student Teaching Experience III: Mathematics,Supervised  participation mathematics in a 5-12 school setting. Permission of mathematics coordinator required prior to enrollment. 1/2 day of time needed. Clinical Experience Level 3.,,42492,2-May
2471,C I 480D,Field Experience for Secondary Teaching Preparation: Biological Sciences,D. Biological Sciences.,,5,5
2472,C I 480E,Pre-Student Teaching Experience III: English,Supervised participation in a 5-12 school setting. Cross listed with English 480K. Permission of English coordinator required prior to enrollment. 1/2 day of time needed. Clinical Experience Level 3.,,42371,2-Jan
2473,C I 480G,Pre-Student Teaching Experience III: World Languages and Cultures,Supervised participation in a 5-12 school setting. Permission of World Languages and Cultures coordinator required prior to enrollment. 1/2 day of time needed. Clinical Experience Level 3.,,42371,2-Jan
2474,C I 480J,Field Experience for Secondary Teaching Preparation: Earth Science,J.  Earth Science.,,5,5
2475,C I 480K,Pre-Student Teaching Experience III: Music,Participation in a K-12 school setting. Cross-listed with MUSIC 480K. Permission of Music coordinator required prior to enrollment. Clinical Experience Level 2.   Offered on a satisfactory-fail basis only.,,1,1
2476,C I 480S,Pre-Student Teaching Experience III: English as a Second Language (ESL),Supervised participation in a school setting. Permission of ESL area coordinator required prior to enrollment. 1/2 day of time needed. Clinical experience level 3.   Offered on a satisfactory-fail basis only.,,2,2
2477,C I 481,Philosophy of Education,Introduction to Western philosophy of education. Emphasis is placed on enduring debates about the purposes(s) of education in a just society. Readings include classic and contemporary texts.,,3,3
2478,C I 486,Methods in Elementary School World Language Instruction,"Planning, implementation, and assessment of standards-based, student-centered, and thematic instruction in the elementary (K-8) classroom.  Special emphasis on K-8 students' communicative skills, cultural knowledge, and content learning.",,3,3
2479,C I 487,Methods in Secondary School World Language Instruction,Theories and principles of contemporary world language learning and teaching. Special emphasis on designing instruction and assessments for active learning.,,3,3
2480,C I 488,Supervised Tutoring in Reading,Using formal and informal diagnostic procedures to plan and implement individualized reading instruction. Field experience in tutoring and a related research project.,,3,3
2481,C I 490,Independent Study,,,42372,3-Jan
2482,C I 490A,Independent Study: Education,,,arr,arr
2483,C I 490C,Independent Study: Curriculum Construction,,,42372,3-Jan
2484,C I 490D,Independent Study: Principles of Education,,,42372,3-Jan
2485,C I 490E,Independent Study: Methods of Teaching,,,42372,3-Jan
2486,C I 490F,Independent Study: Educational Psychology,,,42372,3-Jan
2487,C I 490G,Independent Study: Digital Learning,,,42372,3-Jan
2488,C I 490H,Independent Study: Honors,,,42372,3-Jan
2489,C I 490J,Independent Study: Multicultural Education,,,42372,3-Jan
2490,C I 490K,Independent Study: History/Social Sciences,,,42372,3-Jan
2491,C I 490L,Independent Study: Literacy Education,,,42372,3-Jan
2492,C I 490M,Independent Study: Mathematics Education,,,42372,3-Jan
2493,C I 490N,Independent Study: World Language,,,42372,3-Jan
2494,C I 490O,Independent Study: Foundations of Education,,,42372,3-Jan
2495,C I 490P,Independent Study: Science Education,Independent Study in science education.,,42372,3-Jan
2496,C I 494,Practice and Theory of Teaching Literature in the Secondary Schools,"Portfolio review. Current theories and practices in the teaching of literature to secondary school students. Integrating literary study and writing. Preparation and selection of materials. Classroom presentation. Unit planning. (Taken concurrently with C I 280, Cr. 2, and Sp Ed 450).",,3,3
2497,C I 495B,Independent Study: Teaching Speech,"Problems, methods, and materials related to teaching speech, theatre, and media in secondary schools.",,3,3
2498,C I 497,Teaching Secondary School Mathematics,"Theory and methods for teaching mathematics in grades 5-12. Includes critical examination of instructional strategies, curriculum materials, learning tools, assessment methods, Common Core State Standards-Mathematics, and equity issues.",,3,3
2499,C I 498,Methods of Teaching History/Social Sciences,"Concurrent enrollment in 480A; Admission to teacher education and 30 credits in subject-matter field. Theories and processes of teaching and learning secondary history/social sciences. Emphasis on development and enactment of current methods, assessments, and curriculum materials for providing appropriate learning experiences.",,3,3
2500,C I 501,Foundations of Digital Learning,Educational philosophies and theories of instructional technology. Application of research to the production and use of instructional technology for learning and teaching. Equipment operation.,,3,3
2501,C I 503,Designing Effective Learning Environments,Introduction to theories and models of instructional design. Design decision-making based on the analysis of performance problems and instructional inputs.  Practical experience with the design and development of instruction and evaluation principles.,,3,3
2502,C I 504,Evaluating Digital Learning Environments,"Principles and procedures to plan, design, and conduct effective evaluation studies (formative, summative, usability) in different settings are studied. Opportunities to engage in real or simulated evaluation projects of substantial scope are provided. Create evaluation instruments, develop methods with which to evaluate a product or program, conduct try-outs or usability sessions, analyze the data, report the findings, and recommendations are some of the course activities.",,3,3
2503,C I 505,Using Technology in Learning and Teaching,Teaching and learning using computers. Selection and evaluation of software and hardware for teaching and learning. Research on computers. Tool software. Telecommunications. Trends in computer-based instruction.,,3,3
2504,C I 506,Multicultural Foundations of School and Society: Advanced,"Theories, legal bases, and principles of multicultural education. Pluralism and contributing cultures in the United States; presence and contributions of cultural group diversity with implications for educational programs, curriculum development, classroom instruction, materials utilization and development; problems and issues regarding ethnocentrism, prejudice, and discrimination based on race, ethnicity, socioeconomic class, sex/gender, sexual identity, and language in the school environment; curriculum infusion and transformation, multicultural interaction, design and execution of teaching strategies and techniques; inquiry and research on multicultural education issues.",,3,3
2505,C I 507,Principles and Practices of Distance Learning,"Review of flexible and distance learning (FDL) cases in a variety of contexts and pedagogic styles, identification of underlying principles and frameworks for best practice in this field.",,3,3
2506,C I 508,Algebra in the K-12 Classrooms,"Focus on Algebraic concept explorations and associated procedures. Use of research-based strategies and appropriate technologies to apply fundamental ideas of patterning, coordinate graphing, and relationships among variables into K-12 classrooms. Additional topics facilitate critical examination of K-12 curriculum, pedagogy, and assessment.",,3,3
2507,C I 509,Geometry in the K-12 Classrooms,"Euclidean and non-Euclidean geometry explorations with a focus on pedagogical issues in the K-12 classroom. Use of research-based strategies and appropriate technologies to teach geometry in K-12 classrooms. Additional topics from discrete mathematics, history and philosophy of geometry and fractal geometries.",,3,3
2508,C I 511,"Technology Diffusion, Leadership and Change","Principles and practices of technology diffusion, leadership and school change. Readings and coursework focus on technology diffusion in a broad sense, and examine more closely how this has played out in educational contexts. Leadership is addressed relative to frameworks and strategies for professional development ad organizational change.",,3,3
2509,C I 512,Research Trends in Digital Learning,"Critical review of current research trends in educational technology. Designed to consolidate graduate students' knowledge of current trends, issues in research, and methods of conducting research in practice.",,3,3
2510,C I 513,Mathematical Problem Solving in K-12 Classrooms,"Strategies for improving problem solving skills across all strands of mathematics (e.g., geometry, algebra, number theory) will be emphasized. Issues surrounding the appropriate role of problem solving in K-12 mathematics classrooms will also be discussed, including distinctions among teaching ""about,"" ""for,"" and ""through"" problem solving. Note: This course is open to undergraduate students, but it is a graduate level course.",,3,3
2511,C I 514,Introduction to the Purposes and Complexities of Science Teaching,"Introduction to critical issues facing science education, science education goals reflecting contemporary purposes of schooling, and how people learn science.",,2,2
2512,C I 515,Action Research in Education,Philosophy and methods of conducting and communicating action research focused on improving educational practices. Designed specifically for practicing teachers.,,3,3
2513,C I 516,Antiracist Curriculum Development and Implementation,"Introduction to historical, sociological, philosophical and pedagogical foundations of antiracist/multicultural education. Examination of causes of racism, other forms of discrimination, and intergroup conflict from different theoretical perspectives and experiential exercises.",,3,3
2514,C I 517,Student Teaching,"Evaluation of instruction, lesson planning, and teaching.",,arr,arr
2515,C I 517A,Student Teaching: Social Studies-Middle School,"Evaluation of instruction, lesson planning, and teaching in the liberal arts and sciences.",,arr,arr
2516,C I 517B,Student Teaching: Physical Sciences,"Evaluation of instruction, lesson planning, and teaching in physical sciences grades 5-12.",,arr,arr
2517,C I 517C,Student Teaching: Mathematics,"Evaluation of instruction, lesson planning, and teaching in mathematics grades 5-12.",,arr,arr
2518,C I 517D,Student Teaching: Biological Sciences,"Evaluation of instruction, lesson planning, and teaching in biological sciences grades 5-12.",,arr,arr
2519,C I 517G,Student Teaching: World Language,"Evaluation of instruction, lesson planning, and teaching in world languages grades K-8.",,arr,arr
2520,C I 517J,Student Teaching: Earth Sciences,"Evaluation of instruction, lesson planning, and teaching in earth sciences grades 5-12.",,arr,arr
2521,C I 517M,Student Teaching: Science - Basic,"Evaluation of instruction, lesson planning, and teaching in basic sciences grades 5-12.",,arr,arr
2522,C I 517N,Student Teaching: International,"Evaluation of instruction, lesson planning, and teaching in the liberal arts and sciences.",,arr,arr
2523,C I 517P,Student Teaching: Social Studies-High School,"Evaluation of instruction, lesson planning, and teaching in the liberal arts and sciences.",,arr,arr
2524,C I 517R,Student Teaching: Music-Elementary,"Evaluation of instruction, lesson planning, and teaching in the liberal arts and sciences.",,arr,arr
2525,C I 517S,Student Teaching: Music-Secondary,"Evaluation of instruction, lesson planning, and teaching in the liberal arts and sciences.",,arr,arr
2526,C I 518,Science Methods I: A Research-Based Framework for Teaching Science,"Development of a research-based framework for teaching science that includes student goals, congruent student actions, the character and role of science inquiry, teaching behaviors and strategies, contemporary learning theories, and self-evaluation.",,3,3
2527,C I 519,Secondary Science Methods II: A Research-Based Framework for Teaching Science,"Advancing a research-based framework for teaching science in a variety of school settings; emphasizing the teacher's role, the development and revision of science curriculum, exceptional learners, content area reading strategies, management strategies, technology, and student assessment.",,3,3
2528,C I 520,"Bilingualism, Bilingual Education, and U.S. Mexican Youth","Introduction to research on bilingualism and examination of the social, historical, and political contexts of bilingual education in U.S. schools.  Attention to policy environment, school program structure, mode of classroom instruction, family and community context, and attainment of bilingualism and biculturalism for U.S. Mexican youth.",,3,3
2529,C I 523,Teaching Mathematics to Struggling Elementary Learners,Instructional methods and assessment techniques for elementary students struggling to learn mathematics.  Emphasis on current research and practices for at-risk students and students with disabilities.,,3,3
2530,C I 526,Principles of Secondary Education,"The curriculum, human relations, student evaluation, support services, classroom management, organization of schools, legal aspects of schools, professionalism, and career planning.",,3,3
2531,C I 529,Educational Psychology and the Secondary Classroom,"Analysis of psychological research theory related to learning, cognition, motivation, individual differences, and teaching techniques.  Student and classroom assessment to facilitate positive learning outcomes.  Adaption and differentiation of instruction to meet individual learners' needs.  This course can only be used for teacher licensure programs.  It is not acceptable for use in meeting the non-licensure M.Ed., M.S. or Ph.D. requirements.",,3,3
2532,C I 533,"Educational Psychology of Learning, Cognition, and Memory","Learning, cognition, and memory in educational/training settings.",,3,3
2533,C I 541,How People Learn:  Implications for Teaching Science,Current learning theories within science education and their application to science classrooms. Examination of models which assist the implementation of these theories of learning.,,3,3
2534,C I 546,Advanced Pedagogy in Science Education,"Critical examination of pedagogy, emphasizing teacher behaviors and strategies, methods of self-assessment, action research, and current issues and trends in science education.",,3,3
2535,C I 547,Nature of Science,"The intersection of issues in the history, philosophy sociology, and psychology of science and their application to and impact on science teaching and learning, science teacher education, and science education research.",,3,3
2536,C I 548,Restructuring Science Activities,"Modification of laboratory activities and other everyday science activities so they are more congruent with how students learn, the nature of science, and the National Science Education Standards.",,3,3
2537,C I 550,Ethnicity and Learning,Examination of cultural relevance in education. Development and application of strategies and techniques for implementing multicultural goals and multiethnic perspectives in PreK-12 school classroom settings.,,3,3
2538,C I 551,Foundations of Reading and Language Arts,"Analyzing, discussing, and researching the theory and practice of current literacy issues.",,3,3
2539,C I 552,Assessment for Literacy and Learning,"Identification, analysis and correction of reading problems in five areas: print knowledge, integration of print knowledge, oral reading fluency, vocabulary, and comprehension.",,3,3
2540,C I 553,Teaching Struggling Adolescent Readers,"Instructional strategies for enhancing the fluency, vocabulary and comprehension of struggling adolescent readers.  Attention to content-area reading materials and strategies.",,3,3
2541,C I 554,Reading and Responding to Children's Literature,"Research and discussion of issues surrounding the classroom use of literature for children and young adults including censorship, diversity, selection, and the influences of technology.",,3,3
2542,C I 555,"Literacy, Leadership, and Advocacy","Examination of the roles of literacy specialists/coaches in diverse pre-K-12 schools and communities.  Particular focus placed on current theories, research, standards, and policies relative to literacy processes and instruction, including culturally responsive literacy; processes of successful literacy coaching; and methods of supporting teachers and other school personnel in planning, implementing, and evaluating literacy instruction for all students.",,3,3
2543,C I 556,Integrating Technology into the Reading and Language Arts Curriculum,Methods and strategies used to integrate technology into the reading and language arts curriculum. Use and evaluation of reading and language arts software for elementary classrooms.,,3,3
2544,C I 558,Perspectives on Reading Comprehension,"Critical examination of the topics central to the study of reading comprehension, including processes, development, contexts, motivation, teaching and learning, and assessment. Reading and discussion of research literature in reading comprehension and comprehension instruction.",,3,3
2545,C I 565,"Literacy: Connecting Research, Policy and Practice","Critical examination of current policy initiatives and reform efforts that affect how literacy is viewed, assessed, and practiced, as well as how literacy professionals are prepared for their roles in public schools and colleges.",,3,3
2546,C I 567,Teaching Mathematics to Struggling Secondary Learners,"Instructional methods and assessment techniques for secondary students struggling to learn mathematics.  Particular emphasis on current research, practices, and trends in mathematics interventions for at-risk students and students with disabilities.",,3,3
2547,C I 568,New Media Literacies: Understanding Research and Practice,"Designed to increase awareness and understanding of critical issues surrounding the evolving concept of literacy and examine the effect that technology has on the literacy we use every day, teach in our schools, and need in order to function as 21st century citizens.",,3,3
2548,C I 570,Toying With Technology for Practicing Teachers,"A project-based, hands-on learning course. Technology literacy, appreciation for technological innovations, principles behind many technological innovations, hands-on experiences based upon simple systems constructed out of LEGOs and controlled by small microcomputers. Other technological advances with K-12 applications will be explored. K-12 teachers will leave the course with complete lesson plans for use in their classrooms.",,2,2
2549,C I 577,Historical Perspectives on Technology Equity: Implications for Policy and Practice,"Exploration of the historical, political, sociological, and economic factors that engender global inequities. Examination of the definition and origin of the ""digital divide"" and its relationship to the histories of racism, sexism, classism, and imperialism/globalization. Exploration and analysis of research-based alternative approaches to alleviating technology inequities in educational settings.",,3,3
2550,C I 578,"Pedagogy, Equality of Opportunity, and the Education of Blacks in the United States","This course takes a nonlinear, reflective view of the historical, social, economic, political, and legal contexts of the education of African Americans in the U.S. Educational theories and philosophies, Critical Race Theory and Black Feminist Thought form the framework for investigating broad-based, multiple issues of education for African Americans in the U.S. as they are situated in the prevailing dominant views.",,3,3
2551,C I 588,Supervised Tutoring in Reading,Using formal and informal diagnostic procedures to plan and implement individualized reading instruction. Field experience in tutoring and a related research project.,,3,3
2552,C I 590,Special Topics,,,42372,3-Jan
2553,C I 590A,Special Topics: Curriculum,,,42372,3-Jan
2554,C I 590B,Special Topics: Digital Learning,,,42372,3-Jan
2555,C I 590C,Special Topics: Science Education,,,42372,3-Jan
2556,C I 590D,Special Topics: Secondary Education,,,42372,3-Jan
2557,C I 590F,Special Topics: Multicultural Education,,,42372,3-Jan
2558,C I 590G,Special Topics: Mathematics Education,,,42372,3-Jan
2559,C I 590I,Special Topics: Elementary Education,,,42372,3-Jan
2560,C I 590J,Special Topics: World Language Education,,,42372,3-Jan
2561,C I 590K,Special Topics: Educational Psychology,,,42372,3-Jan
2562,C I 590L,Special Topics: Social Studies Education,,,42372,3-Jan
2563,C I 590M,Special Topics: Literacy Education,,,42372,3-Jan
2564,C I 591,Graduate Level Pre-Student Teaching Experience,Supervised pre-student teaching experience in secondary schools. Supervision level 3.,,42373,4-Jan
2565,C I 591C,Supervised Field Experience: Elementary Education,Supervised on-the-job field experience in special area.,,42375,6-Jan
2566,C I 591D,Graduate Level Pre-Student Teaching Experience: Secondary Science,Supervised pre-student teaching experience in secondary science education. Supervision level 3.,,42373,4-Jan
2567,C I 591G,Graduate Level Pre-Student Teaching Experience: Secondary Mathematics Education,Supervised pre-student teaching experience in mathematics education. Supervision level 3.,,42373,4-Jan
2568,C I 591M,Supervised Field Experience: Literacy,Supervised on-the-job field experience in special area.,,42375,6-Jan
2569,C I 593,Workshops,,,42372,3-Jan
2570,C I 593A,Workshops: Curriculum,,,42372,3-Jan
2571,C I 593B,Workshops: Digital Learning,,,42372,3-Jan
2572,C I 593C,Workshops: Science Education,,,42372,3-Jan
2573,C I 593D,Workshops: Secondary Education,,,42372,3-Jan
2574,C I 593F,Workshops: Multicultural Education,,,42372,3-Jan
2575,C I 593G,Workshops: Mathematics Education,,,42372,3-Jan
2576,C I 593I,Workshops: Elementary Education,,,42372,3-Jan
2577,C I 593J,Workshops: World Language Education,,,42372,3-Jan
2578,C I 593K,Workshops: Educational Psychology,,,42372,3-Jan
2579,C I 593L,Workshops: Social Studies Education,,,42372,3-Jan
2580,C I 593M,Workshops: Literacy Education,,,42372,3-Jan
2581,C I 594,Contemporary Curriculum Theory and Principles,"Theoretical and historical perspectives of contemporary curriculum; social, cultural, and epistemological aspects of curriculum theory; diverse philosophical positions and approaches to understanding curriculum as it relates to educational settings.",,3,3
2582,C I 595,Content Area Reading and Literacy,Analysis and application of strategies to enhance students' literacy development in middle and secondary school settings.  Research paper related to a course topic.,,3,3
2583,C I 597,Teaching Secondary School Mathematics,"Theory and methods for teaching mathematics in grades 7-12.  Includes critical examination of instructional strategies, curriculum materials, learning tools, assessment methods, National Standards in Mathematics Education, and equity issues.",,3,3
2584,C I 599,Creative Component,,,42372,3-Jan
2585,C I 599A,Creative Component: Curriculum,,,42372,3-Jan
2586,C I 599B,Creative Component: Digital Learning,,,42372,3-Jan
2587,C I 599C,Creative Component: Science Education,,,42372,3-Jan
2588,C I 599D,Creative Component: Secondary Education,,,42372,3-Jan
2589,C I 599F,Creative Component: Multicultural Education,,,42372,3-Jan
2590,C I 599G,Creative Component: Mathematics Education,,,42372,3-Jan
2591,C I 599I,Creative Component: Elementary Education,,,42372,3-Jan
2592,C I 599J,Creative Component: World Language Education,,,42372,3-Jan
2593,C I 599K,Creative Component: Educational Psychology,,,42372,3-Jan
2594,C I 599L,Creative Component: Social Studies Education,,,42372,3-Jan
2595,C I 599M,Creative Component: Literacy Education,,,42372,3-Jan
2596,C I 601,Foundations of Educational Inquiry,First of a two-course sequence designed to welcome new Curriculum and Instruction PhD students into the community of educational scholars.  Inquiry into (1) the history of education as an academic field of study; (2) the philosophical underpinings of social scientific and educational inquiry; and (3) the contemporary landscape of the field of education.,,3,3
2597,C I 602,Educational Inquiry in Action,"Second in a sequence welcoming new Curriculum and Instruction PhD students into the community of educational scholars. Opportunities to learn about a variety of faculty research in the department, engage faculty in conversation about their research, and continue reflecting on the theory and practice of educational inquiry.",,3,3
2598,C I 603,Advanced Learning Environments Design,"Exploration of advanced aspects of the instructional design process.  Application of analysis,   design, development and production, evaluation, implementation, and project management principles.    Focus on the production and use of instructional technology with an emphasis on the instructional   design consulting process.  Theory and research in instructional technology provides the foundation   for design decisions.",,3,3
2599,C I 610,Digital Learning in Teacher Education,Research on using technology in teacher education programs. Application examples studied. Field component involving relating material from class to a teacher education situation.,,2,2
2600,C I 611,Philosophical Foundations of Digital Learning,"Exploration of philosophies of science that serve as foundations for research and practice in instructional technology, including positivism, post-positivism, interpretivism/constructivism, and critical theory. The roles of language, nature of truth and reality, and acceptable ways of knowing are explored in terms of their implications for instructional technology design, delivery, research, and scholarship.",,3,3
2601,C I 612,Socio-psychological Foundations of Digital Learning,"Exploration of theories of learning and associated instructional models that are the foundation for research and practice in education and educational technology, including behaviorism, information processing theory, and cognitive science. Emphasis on cognitive and social constructivist paradigms and the creation and use of constructivist learning environments supported by technology.",,3,3
2602,C I 615,Seminar,Selected topics in curriculum and instruction; an analysis of research potential; evaluation of impact upon the profession; implications for additional research.,,1,1
2603,C I 615A,Seminar: Curriculum,Selected topics in curriculum and instruction; an analysis of research potential; evaluation of impact upon the profession; implications for additional research.,,1,1
2604,C I 615B,Seminar: Digital Learning,Selected topics in curriculum and instruction; an analysis of research potential; evaluation of impact upon the profession; implications for additional research.,,1,1
2605,C I 615C,Seminar: Science Education,Selected topics in curriculum and instruction; an analysis of research potential; evaluation of impact upon the profession; implications for additional research.,,1,1
