id,number,name,description,prereqs,numCredits,departmentID
516,"AGRON 590","Special Topics","Literature reviews and conferences on selected topics in crops, soils, or agricultural meteorology according to needs and interest of student.","15 credits in agronomy",arr,7
517,"AGRON 591","Agronomic Systems Analysis","Analysis of cropping systems from a problem-solving perspective. Case studies will be used to develop the students' ability to solve agronomic problems. Required course for the Master of Science in Agronomy degree program.","AGRON 511, AGRON 513, AGRON 531, AGRON 532, AGRON 533",3,7
518,"AGRON 592","Current Issues in Agronomy","Study and discussion of topics of current interest to the field of agronomy. While AGRON 591 deals with agronomics at the farm and landscape level, AGRON 592 seeks to address issues on a broader scale including off-farm agricultural impacts. Required course for the Master of Science in Agronomy degree program.","AGRON 501, AGRON 503, AGRON 511, AGRON 512, AGRON 513, AGRON 514",3,7
519,"AGRON 593","Workshop in Agronomy",,"Graduate classification",arr,7
520,"AGRON 594","Agronomy MS Practicum","Practical field and laboratory experiences integrating coursework in climatology, crops, and soils. Includes lectures, labs and local agri-business tours.","AGRON 501, AGRON 502, AGRON 503, AGRON 514 (or current enrollment. Recommended: AGRON 511, AGRON 512, AGRON 513",1,7
521,"AGRON 595","Seed Quality, Production, and Research Management","Advanced survey of the organization, staff capabilities and management characteristics typical in seed production and crop improvement in seed enterprises. Analysis of the use of quality information in the management of seed operations and sales. Process management applications for seed.  Production planning for existing capacity.  Analysis of the manager's tasks in the annual cycle and how the tasks of these managers relate to the general categories of business management roles. Difference in management strategies used with different situations and groups of employees.","Admission to the Seed Technology and Business Master's Degree Program or approval of the instructor",3,7
522,"AGRON 599","Creative Component","A written report based on research, library readings, or topics related to the student's area of specialization and approved by the student's advisory committee.","Nonthesis M.S. option only",arr,7
523,"AGRON 599A","Agricultural Meteorology","A written report based on research, library readings, or topics related to the student's area of specialization and approved by the student's advisory committee.","Nonthesis M.S. option only",arr,7
524,"AGRON 599B","Crop Production and Physiology","A written report based on research, library readings, or topics related to the student's area of specialization and approved by the student's advisory committee.","Nonthesis M.S. option only",arr,7
525,"AGRON 599C","Plant Breeding","A written report based on research, library readings, or topics related to the student's area of specialization and approved by the student's advisory committee.","Nonthesis M.S. option only",arr,7
526,"AGRON 599D","Soil Chemistry","A written report based on research, library readings, or topics related to the student's area of specialization and approved by the student's advisory committee.","Nonthesis M.S. option only",arr,7
527,"AGRON 599E","Soil Fertility","A written report based on research, library readings, or topics related to the student's area of specialization and approved by the student's advisory committee.","Nonthesis M.S. option only",arr,7
528,"AGRON 599F","Soil Management","A written report based on research, library readings, or topics related to the student's area of specialization and approved by the student's advisory committee.","Nonthesis M.S. option only",arr,7
529,"AGRON 599G","Soil Microbiology and Biochemistry","A written report based on research, library readings, or topics related to the student's area of specialization and approved by the student's advisory committee.","Nonthesis M.S. option only",arr,7
530,"AGRON 599H","Soil Morphology and Genesis","A written report based on research, library readings, or topics related to the student's area of specialization and approved by the student's advisory committee.","Nonthesis M.S. option only",arr,7
531,"AGRON 599I","Soil Physics","A written report based on research, library readings, or topics related to the student's area of specialization and approved by the student's advisory committee.","Nonthesis M.S. option only",arr,7
532,"AGRON 599K","Seed Science","A written report based on research, library readings, or topics related to the student's area of specialization and approved by the student's advisory committee.","Nonthesis M.S. option only",arr,7
533,"AGRON 599L","Weed Science","A written report based on research, library readings, or topics related to the student's area of specialization and approved by the student's advisory committee.","Nonthesis M.S. option only",arr,7
534,"AGRON 599M",Agronomy,"A written report based on research, library readings, or topics related to the student's area of specialization and approved by the student's advisory committee.","Nonthesis M.S. option only",arr,7
535,"AGRON 600",Seminar,"Reports and discussion of recent literature and research.",,1,7
536,"AGRON 600A","Seminar: Plant Breeding","Instruction and practice in giving scientific presentations related to the fields of plant breeding, genetics, or genomics, with an emphasis on effective communication and presentation techniques. An oral seminar and a poster presentation are required, along with analyses of other seminars, and participation in planning and hosting invited speakers.",,1,7
537,"AGRON 600B","Seminar: Soils","Reports and discussion of recent literature and research.",,1,7
538,"AGRON 600C","Seminar: Crop Production and Physiology","Reports and discussion of recent literature and research.",,1,7
539,"AGRON 601","Agronomic Science Presentations","Experience in critical communications in exchange of ideas through oral and poster presentations and scientific questioning/evaluation.","graduate status in agronomic science, permission of instructor.",2,7
540,"AGRON 605","Boundary-Layer Meteorology","Atmospheric boundary-layer structure and dynamics. Diurnal and seasonal variations, turbulent fluxes and turbulence kinetic energy. Measurements and empirical relations for wind and temperature near the ground. Numerical simulation and applications to wind energy.","MTEOR 443 or equivalent-level course in engineering fluids",3,7
541,"AGRON 610","Foundations of Sustainable Agriculture","Historical, biophysical, socioeconomic, and ethical dimensions of agricultural sustainability. Strategies for evaluating existing and emerging agricultural systems in terms of the core concepts of sustainability and their theoretical contexts.","Graduate classification, permission of instructor",3,7
542,"AGRON 621","Advanced Plant Breeding","Estimation and interpretation of genetic effects and variances of plant breeding populations, analysis of mating designs, estimation of combining ability and heritability, best linear unbiased prediction, selection indices with and without molecular information, inbreeding and heterosis.","AGRON 521, AGRON 526, AGRON 561; GEN 410",3,7
543,"AGRON 625","Genetic Strategies in Plant Breeding","Evaluation of genetic, molecular, and cellular approaches to crop improvement; gene transfer methods. Application and role of basic plant biology in breeding programs and processes; genome structure and function, gene isolation, expression, regulation, and modification. Integration of molecular and cellular methods in breeding strategies; analysis of alternative breeding methods, regulatory and ethical issues.","AGRON 521, GEN 510",3,7
544,"AGRON 655","Advanced Soil Fertility","Evaluation of soil fertility and fertilizers; theory and applications.","AGRON 553",2,7
545,"AGRON 677","Advanced Soil Physics","The flow and distribution of water, chemicals, and heat in soils. Physical principles and applications.","AGRON 577; MATH 266, MATH 267. Recommended: COM S 207",3,7
546,"AGRON 685","Advanced Soil Biochemistry","Chemistry of soil organic matter and biochemical transformations brought about by microorganisms and enzymes in soils.","AGRON 585",2,7
547,"AGRON 696","Research Seminar","Research seminars by faculty and graduate students.   Offered on a satisfactory-fail basis only.",,1,7
548,"AGRON 698","Agronomy Teaching Practicum","Graduate student experience in the agronomy teaching program.   Offered on a satisfactory-fail basis only.","Graduate classification in agronomy and permission of instructor",1-2,7
549,"AGRON 699",Research,,,arr,7
550,"AGRON 699A","Agricultural Meteorology",,,arr,7
551,"AGRON 699B","Crop Production and Physiology",,,arr,7
552,"AGRON 699C","Plant Breeding",,,arr,7
553,"AGRON 699D","Soil Chemistry",,,arr,7
554,"AGRON 699E","Soil Fertility",,,arr,7
555,"AGRON 699F","Soil Management",,,arr,7
556,"AGRON 699G","Soil Microbiology and Biochemistry",,,arr,7
557,"AGRON 699H","Soil Morphology and Genesis",,,arr,7
558,"AGRON 699I","Soil Physics",,,arr,7
559,"AGRON 699J","Plant Physiology",,,arr,7
560,"AGRON 699K","Seed Science",,,arr,7
561,"AGRON 699L","Weed Science",,,arr,7
562,"AFAS 101","Introductory Leadership Laboratory I","Instruction on Air Force customs and courtesies; drill and ceremonies, issuing military commands, physical training, studying the environment of an Air Force officer and learning about areas of opportunity available to commissioned officers.   Offered on a satisfactory-fail basis only.","Membership as a cadet in AFROTC",1,8
563,"AFAS 102","Introductory Leadership Laboratory II","A continuation of AFAS 101. Air Force customs and courtesies; drill and ceremonies, issuing military commands, physical training, studying the environment of an Air Force officer and learning about areas of opportunity available to commissioned officers.   Offered on a satisfactory-fail basis only.","Membership as a cadet in AFROTC",1,8
564,"AFAS 141","Foundations of the United States Air Force","Basic introduction to the United States Air Force and Air Force Reserve Officer Training Corps. Mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer opportunities, and communication skills.",,1,8
565,"AFAS 142","Foundations of the United States Air Force","A continuation of 141. Topics include Air Force installations, Air Force core values, leadership and team building, further study of interpersonal communication, the Oath of Office and Commissioning.",,1,8
566,"AFAS 151","Air Force Physical Training","Use of basic military training skills and instruction to develop confidence, leadership, communication skills and physical fitness. The team approach is utilized in the instruction and application of Air Force physical fitness requirements. Students will learn various Air Force physical fitness techniques as well as how to conduct physical fitness sessions. Full participation in all events will be determined based on student's physical and medical eligibility.   Offered on a satisfactory-fail basis only.","Membership as a cadet in AFROTC",1,8
567,"AFAS 201","Basic Leadership Laboratory I","Instructs and critiques freshmen cadets on Air Force customs and courtesies, drill and ceremonies, issuing military commands and physical training.   Offered on a satisfactory-fail basis only.","Membership as a cadet in AFROTC",1,8
568,"AFAS 202","Basic Leadership Laboratory II","A continuation of AFAS 201, instructing and critiquing freshmen cadets on Air Force customs and courtesies, drill and ceremonies, issuing military commands and physical training.   Offered on a satisfactory-fail basis only.","Membership as a cadet in AFROTC",1,8
569,"AFAS 241","The Evolution of USAF Air & Space Power I","Examines the general aspects of air and space power through a historical perspective.  Utilizing this perspective, the course covers a time period from the first balloons and dirigibles to the Korean War.  Historical examples are provided to illustrate the development of airpower capabilities and missions to demonstrate the evolution of what has become today's USAF air and space power.",,1,8
570,"AFAS 242","The Evolution of USAF Air & Space Power II","A continuation of AFAS 241 that examines the general aspects of air and space power through a historical perspective.  Utilizing this perspective, the course covers a time period from the Korean War to the space-age global positioning systems of the Persian Gulf War.  Historical examples are provided to illustrate the development of airpower capabilities and missions to demonstrate the evolution of what has become today's USAF air and space power.",,1,8
571,"AFAS 301","Intermediate Leadership Laboratory I","Mid-level management of leadership experiences involving the planning and controlling of the military activities of the AFROTC cadet corps, physical training, the preparation and presentation of briefings and other oral and written communications, and the providing of interviews, guidance, and information that will increase the understanding, motivation, and performance of other cadets.   Offered on a satisfactory-fail basis only.","Membership as a cadet in AFROTC",1,8
572,"AFAS 302","Intermediate Leadership Laboratory II","A continuation of AFAS 301, mid-level management of leadership experiences involving the planning and controlling of the military activities of the AFROTC cadet corps, physical training, the preparation and presentation of briefings and other oral and written communications, and the providing of interviews, guidance, and information that will increase the understanding, motivation, and performance of other cadets.   Offered on a satisfactory-fail basis only.","Membership as a cadet in AFROTC",1,8
573,"AFAS 341","Air Force Leadership Studies I","A look at the fundamental issues of leadership and management in the U.S Air Force; a large and diverse organization. It examines the theoretical aspects of leadership, management, communications, motivation and problem-solving while studying them against the backdrop of the U.S. Air Force. The course also conducts hands-on exercises to apply principles learned. While the curriculum is focused on the Air Force as an organization, the principles studied are applicable to most organizations.",,3,8
574,"AFAS 342","Air Force Leadership Studies II","A continuation of AFAS 341, that looks at the advanced issues of leadership and management in the U.S. Air Force; a large and diverse organization.  It examines the theoretical aspects of leadership, managment, communications, motivation and problem-solving while studying them against the backdrop of the U.S. Air Force.  The course also conducts hands-on exercises to apply principles learned.  While the curriculum is focused on the Air Force as an organization, the principles studied are applicable to most oranizations.","AFAS 341",3,8
575,"AFAS 401","Advanced Leadership Laboratory I","Advanced leadership experiences involving the planning and controlling of the upper level management of military activities of the AFROTC cadet corps, physical training, the preparation and presentation of briefings and other oral and written communications, and the providing of interviews, guidance, and information that will increase the understanding, motivation, and performance of other cadets.   Offered on a satisfactory-fail basis only.","Membership as a cadet in AFROTC",1,8
576,"AFAS 402","Advanced Leadership Laboratory II","A continuation of AFAS 401, advanced leadership experiences involving the planning and controlling of the military activities of the AFROTC cadet corps, physical training, the preparation and presentation of briefings and other oral and written communications, and the providing of interviews, guidance, and information that will increase the understanding, motivation, and performance of other cadets.   Offered on a satisfactory-fail basis only.","Membership as a cadet in AFROTC",1,8
577,"AFAS 441","Preparation for Active Duty","Traces the source of military authority and responsibilities from the U.S. Constitution through the DoD to an Air Force officer.  Examines the structure and capabilities of the other services and joint structures.  Addresses the supervisory duties of an Air Force officer associated with administrative actions and military law as force management tools.  Builds upon leadership and management skill learned in AFAS 341/342 and includes demonstrations of written and verbal communications processes.",,3,8
578,"AFAS 442","National Security Affairs","Examines the national security process through review of the Department of Defense's statutory administrative and operational relationships as context for this course's regional studies component. Reviews functions of air and space power as outlined in Air Force doctrine and introduces the concept of joint operations. Integrates these concepts with regional studies to survey issues of interest to professional military officers and governmental leaders. Selectively reviews and discusses Africa, Latin America, South Asia, East Asia, Europe, Russia and the Middle East.",,3,8
579,"AM IN 210","Introduction to American Indian Studies","Introduction to the multidisciplinary aspects of American Indian studies. Topics include literature, the arts, history, anthropology, sociology, education, and contemporary Indian politics. Guest lectures, media presentations, and discussion of assigned readings.",,3,9
580,"AM IN 240","Introduction to American Indian Literature","Appreciation of oral and written forms of American Indian literatures. Tropes and techniques in oral, visual and written texts. Focus on the role of American Indians in interdisciplinary approaches to modern social and environmental issues as expressed in literary works.","Credit in or exemption from ENGL 150",3,9
581,"AM IN 310","Topics in American Indian Studies","Study of specific topics in American Indian society and culture from an interdisciplinary perspective. Topics vary by section.   Only 9 credits of AM IN 310A, 310B, 310C, 310D, 310E, 310F, 310G may count toward graduation.","AM IN 210, ANTHR 201, ANTHR 306, or ANTHR 322 recommended",3,9
582,"AM IN 310A","Topics in American Indian Studies: Sovereignty, Law and Policy","Study of specific topics in American Indian society and culture from an interdisciplinary perspective. This section examines the concept of American Indian sovereignty as it relates to policy and law.   Only 9 credits of AM IN 310A, 310B, 310C, 310D, 310E, 310F, 310G may count toward graduation.","AM IN 210, ANTHR 201, ANTHR 306, or ANTHR 322 recommended",3,9
583,"AM IN 310B","Topics in American Indian Studies: Oral Traditions and Performance","Study of specific topics in American Indian society and culture from an interdisciplinary perspective. This section examines oral traditions and performance.   Only 9 credits of AM IN 310A, 310B, 310C, 310D, 310E, 310F, 310G may count toward graduation.","AM IN 210, ANTHR 201, ANTHR 306, or ANTHR 322 recommended",3,9
584,"AM IN 310C","Topics in American Indian Studies: American Indians in Film","Study of specific topics in American Indian society and culture from an interdisciplinary perspective. This section examines American Indians in film.   Only 9 credits of AM IN 310A, 310B, 310C, 310D, 310E, 310F, 310G may count toward graduation.","AM IN 210, ANTHR 201, ANTHR 306, or ANTHR 322 recommended",3,9
585,"AM IN 310D","Topics in American Indian Studies: Spiritual Traditions","Study of specific topics in American Indian society and culture from an interdisciplinary perspective. This section looks at spiritual traditions in American Indian culture.   Only 9 credits of AM IN 310A, 310B, 310C, 310D, 310E, 310F, 310G may count toward graduation.","AM IN 210, ANTHR 201, ANTHR 306, or ANTHR 322 recommended",3,9
586,"AM IN 310E","Topics in American Indian Studies:American Indian Scholarship and Education","Study of specific topics in American Indian society and culture from an interdisciplinary perspective. This section examines current issues in American Indian scholarship and education.   Only 9 credits of AM IN 310A, 310B, 310C, 310D, 310E, 310F, 310G may count toward graduation.","AM IN 210, ANTHR 201, ANTHR 306, or ANTHR 322 recommended",3,9
587,"AM IN 310F","Topics in American Indian Studies: Lands, Environments and Resources","Study of specific topics in American Indian society and culture from an interdisciplinary perspective. This section looks at current issues of resources and the environment on native lands.   Only 9 credits of AM IN 310A, 310B, 310C, 310D, 310E, 310F, 310G may count toward graduation.","AM IN 210, ANTHR 201, ANTHR 306, or ANTHR 322 recommended",3,9
588,"AM IN 310G","Topics in American Indian Studies: Representations, Identity and Resistance","Study of specific topics in American Indian society and culture from an interdisciplinary perspective. This section looks at current cultural representations of identity.   Only 9 credits of AM IN 310A, 310B, 310C, 310D, 310E, 310F, 310G may count toward graduation.","AM IN 210, ANTHR 201, ANTHR 306, or ANTHR 322 recommended",3,9
589,"AM IN 315","Archaeology of North America","Prehistory and early history of North America as reconstructed from archaeological evidence; peopling of the New World; culture-  historical sequences of major culture areas; linkages of archaeological traditions with selected ethnohistorically known Native   American groups.","ANTHR 202",3,9
590,"AM IN 320","Great Plains Archaeology","Prehistoric societies of the Great Plains region of North America, from initial occupation to European contact; emphasis on   sociocultural changes, continuities, and adaptations to changing environments using archaeological, ecological, ethnographic   information.","ANTHR 202",3,9
591,"AM IN 322","Peoples and Cultures of Native North America","Origin, distribution, and pre-contact life of the indigenous peoples of North America. Survey of culture areas; language families,   social and political systems, ecological and economic adaptations, religion and spirituality; impact of European contact;  cultural   resilience and revitalization in contemporary American Indian life.","ANTHR 201 or AM IN 210",3,9
592,"AM IN 323","Topics in Latin American Anthropology","Exploration of key contemporary and historical issues in Latin American Anthropology; discussion of current   anthropological approaches to studying Latin American social issues in a global context. Topics vary each time offered.","ANTHR 201 or ANTHR 306 recommended",3,9
593,"AM IN 323A","Latin American Anthropology: Violence and Memory","Exploration of key contemporary and historical issues in Latin American Anthropology; discussion of current   anthropological approaches to studying Latin American social issues in a global context. Topics vary each time offered.","ANTHR 201 or ANTHR 306 recommended",3,9
594,"AM IN 323B","Latin American Anthropology: Social movements and Democracy","Exploration of key contemporary and historical issues in Latin American Anthropology; discussion of current   anthropological approaches to studying Latin American social issues in a global context. Topics vary each time offered.","ANTHR 201 or ANTHR 306 recommended",3,9
595,"AM IN 323C","Latin American Anthropology: Race, Class and Gender","Exploration of key contemporary and historical issues in Latin American Anthropology; discussion of current   anthropological approaches to studying Latin American social issues in a global context. Topics vary each time offered.","ANTHR 201 or ANTHR 306 recommended",3,9
596,"AM IN 323D","Latin American Anthropology: Regional Focus","Exploration of key contemporary and historical issues in Latin American Anthropology; discussion of current   anthropological approaches to studying Latin American social issues in a global context. Topics vary each time offered.","ANTHR 201 or ANTHR 306 recommended",3,9
597,"AM IN 332","Current Issues in Native North America","Exploration of key contemporary and historical issues in Native North America; discussion of current anthropological approaches to studying Native North America in a global context. Topics vary each time offered.   Only 9 credits of ANTHR/AM IN 332A, 332B, 332C, 332D may count toward graduation.","ANTHR 201 or ANTHR 306; ANTHR 322 or AM IN 210 recommended",3,9
598,"AM IN 332A","Current Issues in Native North America: Gender and Family","Exploration of key contemporary and historical issues in Native North America; discussion of current anthropological approaches to studying Native North America in a global context. Topics vary each time offered.   Only 9 credits of ANTHR/AM IN 332A, 332B, 332C, 332D may count toward graduation.","ANTHR 201 or ANTHR 306; ANTHR 322 or AM IN 210 recommended",3,9
599,"AM IN 332B","Current Issues in Native North America: Indigenous Ecologies and Geographies","Exploration of key contemporary and historical issues in Native North America; discussion of current anthropological approaches to studying Native North America in a global context.   Only 9 credits of ANTHR/AM IN 332A, 332B, 332C, 332D may count toward graduation.","ANTHR 201 or ANTHR 306; ANTHR 322 or AM IN 210 recommended",3,9
600,"AM IN 332C","Current Issues in Native North America: Cultural and Political Movements","Exploration of key contemporary and historical issues in Native North America; discussion of current anthropological approaches to studying Native North America in a global context. Topics vary each time offered.   Only 9 credits of ANTHR/AM IN 332A, 332B, 332C, 332D may count toward graduation.","ANTHR 201 or ANTHR 306; ANTHR 322 or AM IN 210 recommended",3,9
601,"AM IN 332D","Current Issues in Native North America: Regional Focus","Exploration of key contemporary and historical issues in Native North America; discussion of current anthropological approaches to studying Native North America in a global context. Topics vary each time offered.   Only 9 credits of ANTHR/AM IN 332A, 332B, 332C, 332D may count toward graduation.","ANTHR 201 or ANTHR 306; ANTHR 322 or AM IN 210 recommended",3,9
602,"AM IN 342","American Indian Women Writers","Literature of American Indian women writers which examines their social, political, and cultural roles in the United States. Exploration of American Indian women's literary, philosophical, and artistic works aimed at recovering elements of identity, redescribing stereotypes, resisting colonization, and constructing femininity.","ENGL 250",3,9
603,"AM IN 346","American Indian Literature","Survey of literature by Native Americans from pre-Columbian tales and songs to contemporary novels and poetry.","ENGL 250",3,9
604,"AM IN 426","Topics in Native American Architecture","History, theory, and principles of Native American/American Indian architecture, landscape architecture and planning considering relationships to the culture, visual arts, site, and surroundings. Credit counts toward fulfillment History, Theory, Culture.   A maximum of 6 credits of ARCH 426 may be applied to degree program.","Junior classification",3,9
605,"AM IN 490","Independent Study","Designed to meet the needs of students who wish to study in areas other than those in which courses are offered.   No more than 9 credits in Am In 490 may be counted toward graduation.","6 credits in American Indian studies; permission of instructor",arr,9
606,"ASL 101","American Sign Language I","Introduction to American Sign Language (ASL). Development of expressive and receptive skills including vocabulary, grammar, usage, and cultural information. Note: Distinct from â€œSigned Englishâ€. ASL is a natural language with its own rules of grammar and usage.",,4,10
607,"ASL 102","American Sign Language II","Introduction to American Sign Language (ASL) II continues development of expressive and receptive skills introduced in American Sign Language I, including vocabulary, grammar, usage, and cultural information. Distinct from â€œSigned Englishâ€. ASL is a natural language with its own rules of grammar and usage.","ASL 101",4,10
608,"ASL 201","Intermediate American Sign Language I","Development of fluency for intermediate conversational skills. Review of grammar and varying grammatical forms for both structured and unstructured social situations such as sharing opinions, discussing weekend activities, and exchanging views on current topics.","ASL 102 or equivalent.",4,10
609,"ASL 202","Intermediate American Sign Language II","A continuation and further application of language principles learned in ASL 201, to deepen ability to actively engage in dialogue both in structured and unstructured social situations. Further fluency in intermediate conversational skills will be developed, particularly in the areas of sematic equivalence and dialogic/monologic register.","ASL 201 or equivalent.",4,10
610,"ASL 275","Topics in Deaf Culture","Focus on contemporary topics in Deaf Culture, Communities, and History. Readings and discussion from a wide range of sources. Topics vary according to faculty interest.",,3,10
611,"ASL 490","Independent Study","Designed to meet the needs of students in areas other than those in which courses are offered, or who desire to integrate a study of literature or language with special problems in major fields.   No more than 6 credits of ASL 490 may be counted towards graduation.","6 credits in ASL and permission of department chair",1-6,10
612,"A ECL 312",Ecology,"Fundamental concepts and principles of ecology dealing with organisms, populations, communities and ecosystems. Laboratory and field exercises examine ecological principles and methods as well as illustrate habitats.","BIOL 211, BIOL 211L, BIOL 212, and BIOL 212L",4,11
613,"A ECL 312I",Ecology,"An introduction to the principles of ecology at the population, community and ecosystem level. Field studies of local lakes, wetlands and prairies are used to examine factors controlling distributions, interactions, and roles of plants and animals in native ecosystems.",,4,11
614,"A ECL 321","Fish Biology","Biology, ecology, and evolution of fishes.  Emphasis on structure, physiology, and behavior, including a focus on the conservation and management of fishes and their habitats.  Laboratory focus on fish morphology, survey methods, identification, distribution, habits, and habitats of fishes.","A ECL 365",3,11
615,"A ECL 326I",Ornithology,"The biology, ecology, and behavior of birds with emphasis on field studies of local avifauna. Group projects stress techniques of population analysis and methodology for population studies.",,4,11
616,"A ECL 333","Fisheries Techniques","Introduction to techniques used in the collection and interpretation of fish population data in the field and in the lab.  Course objectives include an understanding of population survey methodology and improving student critical thinking and teamwork skills. Laboratory focuses on field trips and hands-on sampling experience.","BIOL 212",2,11
617,"A ECL 365","Vertebrate Biology","Evolution, biology, and classification of fish, amphibians, reptiles, birds, and mammals. Emphasis on a comparative analysis of the structure and function of organ systems. Laboratory exercises concentrate on morphology and identification of orders of vertebrates.","BIOL 212, BIOL 212L",4,11
618,"A ECL 366","Natural History of Iowa Vertebrates","Vertebrate fauna of Iowa, including fishes, amphibians, reptiles, birds, and mammals. Species identification, habitat requirements, community structure and assessment, conservation issues that include historical population changes and value of wild animals to the region's ecological and economic health.","BIOL 211, BIOL 211L, BIOL 212, BIOL 212L",3,11
619,"A ECL 371","Ecological Methods","Quantitative techniques used in management of natural resources with emphasis on inventory and manipulation of habitat and animal populations.","A ECL 312; STAT 101 or STAT 104",3,11
620,"A ECL 401","Intro to Aquatic Animal Medicine","8 week course. Introductory course with focus on fin fish production, health and medicine. Course content will help define future roles for veterinarians, producers, and service providers.  Emphasis will be placed on anatomy, pathology, infectious diseases, nutrition, regulatory constraints in production, food safety, and current research. Field trip to aquaculture facility.",,1,11
621,"A ECL 404I","Behavioral Ecology","Animal coloniality, courtship, territoriality, predator defense, habitat selection, foraging, mating systems, and parental care will be examined in the field in order to evaluate various ecological and evolutionary theories of animal behavior.","Two semesters of biology",4,11
622,"A ECL 415","Ecology of Freshwater Invertebrates, Plants, and Algae","Identification, biology, and ecological requirements of freshwater invertebrates, plants and algae. Additional emphases on community sampling methods and analysis, and use of organisms as tools for aquatic ecosystem health assessment.","A ECL 312",3,11
623,"A ECL 418","Stream Ecology","Biological, chemical, physical, and geological processes that determine the structure and function of flowing water ecosystems. Current ecological theories as well as applications to stream management for water quality and fisheries.","A ECL 486",3,11
624,"A ECL 419I","Vertebrate Ecology and Evolution","Field and laboratory study of representative vertebrates of northwestern Iowa. Observations and experimentation emphasize ecological histories by integrating concepts of functional morphology, behavioral ecology, and evolutionary biology.",,4,11
625,"A ECL 420I","Amphibians and Reptiles","Ecology, behavior, and conservation biology of amphibians and reptiles with emphasis on their anatomy and morphology; temperature and water regulation; locomotion; life history; reproduction; population and community ecology; and conservation.","Two semesters of biology",4,11
626,"A ECL 425","Aquatic Insects","Morphology, ecology, diversity, and significance of aquatic insects, with emphasis on the collection, curation and identification of taxa in local streams and lakes.","BIOL 312 or equivalent",3,11
627,"A ECL 440","Fishery Management","Biological basis of fishery management, fishery problems, and management practices for freshwater, anadromous, and marine fisheries.","A ECL 312, A ECL 321, STAT 101 or STAT 104; credit or enrollment in A ECL 486",3,11
628,"A ECL 442",Aquaculture,"Concepts related to the culture of aquatic organisms including culture systems, water quality, nutrition, genetics, diseases, and marketing.","BIOL 211 and BIOL 212.",3,11
629,"A ECL 451","Wildlife Ecology and Management","Ecological theory and practice of wildlife management, including, population ecology, habitat management, and current issues in the field. Course involves a series of case studies addressing actual wildlife issues using field and quantitative methods.","A ECL 371",3,11
630,"A ECL 454","Principles of Wildlife Disease","Ecological and epidemiological aspects of diseases as they relate to wildlife populations. Topics to be covered include: major classes of disease; detection, description, monitoring, and management of disease; characteristics and interactions between disease agents and wildlife hosts; relationships among wildlife, domestic animal, and human health.","Junior standing and at least 10 credits in biological sciences at the 300+ level",3,11
631,"A ECL 455","International Wildlife Issues","Biological, political, social, and economic factors affecting the management of international wildlife resources.","A ECL 365, A ECL 312 or graduate standing; NREM 120",3,11
632,"A ECL 457",Herpetology,"Biology, ecology, and evolution of amphibians (salamanders, frogs, caecilians) and reptiles (lizards, snakes, tuatara, turtles, crocodilians).  Emphasis on structure, physiological adaptation to different environments, behavior, reproduction, roles of amphibians and reptiles in ecosystems, and conservation.  Laboratory focus on survey methods, identification, relationships, distribution, habits, and habitats of amphibians and reptiles.","BIOL 351 or BIOL 365",2,11
633,"A ECL 457L","Herpetology Laboratory","Laboratory to accompany Biology/Animal Ecology 457. Focus on survey methods, identification, relationships, distribution, habits, and habitats of amphibians and reptiles.","BIOL 351 or BIOL/A ECL 365; concurrent registration in BIOL 457 or A ECL 457",1,11
634,"A ECL 458",Ornithology,"Biology, evolution, ecology and taxonomy of birds.  Emphasis on structure, physiology, behavior, communication, navigation, reproduction, and conservation.","A ECL 365 or BIOL 351",2,11
635,"A ECL 458L","Ornithology Laboratory","Laboratory complements lecture topics with emphasis on external anatomy, identification and distribution of Midwest birds, and field trips.","BIOL 351 or AECL/BIOL 365. Concurrent enrollment in AECL/BIOL 458 is required.",1,11
636,"A ECL 459",Mammalogy,"Biology, ecology, and evolution of mammals.  Emphasis on structure, physiological adaptation to different environments, behavior, reproduction, roles of mammals in ecosystems, and conservation.","BIOL 351 or A ECL 365",2,11
637,"A ECL 459L","Mammalogy Laboratory","Laboratory focus on identification, survey methods, distribution, habits, and habitats of mammals. Several field trips.","BIOL 351 or BIOL/AECL 365; concurrent enrollment in AECL 459 or BIOL 459 required.",1,11
638,"A ECL 480","Studies in Marine Biology","Courses taken at Gulf Coast Research Laboratory and other marine biological stations are transferred to Iowa State University under this number.",,1-8,11
639,"A ECL 486","Aquatic Ecology","Structure and function of aquatic ecosystems with application to fishery and pollution problems. Emphasis on lacustrine, riverine, and wetland ecology.","BIOL 312 or ENSCI 381 or ENSCI 402 or NREM 301",3,11
640,"A ECL 486L","Aquatic Ecology Laboratory","Field trips and laboratory exercises to accompany 486. Hands-on experience with aquatic research and monitoring techniques and concepts.","Concurrent enrollment in BIOL 486",1,11
641,"A ECL 515","Ecology of Freshwater Invertebrates, Plants, and Algae","Identification, biology, and ecological requirements of freshwater invertebrates, plants and algae. Additional emphases on community sampling methods and analysis, and use of organisms as tools for aquatic ecosystem health assessment.","A ECL 312",3,11
642,"A ECL 516","Avian Ecology","Current topics and theories including avian breeding and foraging ecology, population biology, community structure, habitat selection, field methodologies, and data interpretation.","A ECL 365, A ECL 312, or graduate standing",3,11
643,"A ECL 518","Stream Ecology","Biological, chemical, physical, and geological processes that determine the structure and function of flowing water ecosystems. Current ecological theories as well as applications to stream management for water quality and fisheries.","A ECL 486",3,11
