id,number,name,description,numCredits,departmentID,acronym
1952,,The Ancient City,"Examination of ancient urban life, including historical context, physical space, material culture, religion, literature, and art; examination of civic identity (the ""polis""). Contrast between the concepts of urban and rural. Examples drawn from specific ancient cities; some attention to modern methods of recovering the conditions of ancient urban life and the fundamental concept of the city in European history.",,36,CL ST 275
1953,,The Ancient City: Honors,"Examination of ancient urban life, including historical context, physical space, material culture, religion, literature, and art; examination of civic identity (the ""polis""). Contrast between the concepts of urban and rural. Examples drawn from specific ancient cities; some attention to modern methods of recovering the conditions of ancient urban life and the fundamental concept of the city in European history.",,36,CL ST 275H
1954,,Cultural Heritage of the Ancient World,"Historical examination of art, literature, thought, and religious beliefs of major civilizations of the ancient Mediterranean countries until the end of the 8th century.",,36,CL ST 304
1955,,Ancient Philosophy,"Survey of ancient Greek philosophy, focusing on the pre-Socratics, Plato, and Aristotle. Questions concerning being, knowledge, language, and the good life are treated in depth.",,36,CL ST 310
1956,,Rhetorical Traditions,"Ideas about the relationship between rhetoric and society in contemporary and historical contexts. An exploration of classical and contemporary rhetorical theories in relation to selected topics that may include politics, gender, race, ethics, education, science, or technology.",,36,CL ST 350
1957,,World Literature: Western Foundations through Renaissance,"Representative works from the drama, epics, poetry, and prose of the Ancient World through the late sixteenth century. May include Homer, Aeschylus, Sappho, Catullus, Dante, Marie de France, Boccaccio, Christine de Pizan, Cervantes, and others.",,36,CL ST 353
1958,,Christianity in the Roman Empire,"An historical introduction to the rise of Christianity in the Roman empire, with special attention to the impact of Greco-Roman culture on the thought and practice of Christians and the interaction of early Christians with their contemporaries.",,36,CL ST 367
1959,,Greek and Roman Tragedy and Comedy,"Greek and Roman drama from the beginnings until today. Readings in English from authors such as Aeschylus, Sophocles, Euripides, Aristophanes, Menander, Plautus, Terence, Seneca. Course may cover performance, theories of comedy and tragedy, recent and current expressions of the comic and tragic in film and other media.",,36,CL ST 372
1960,,Greek and Roman Tragedy and Comedy: Honors,"Greek and Roman drama from the beginnings until today. Readings in English from authors such as Aeschylus, Sophocles, Euripides, Aristophanes, Menander, Plautus, Terence, Seneca. Course may cover performance, theories of comedy and tragedy, recent and current expressions of the comic and tragic in film and other media.",,36,CL ST 372H
1961,,"Heroes of Greece, Rome, and Today","Cultural and political significance of ancient epic, especially in Greece and Rome. Course may include study of the heroic code in antiquity and its modern expressions including in film. Readings in English from authors such as Homer and Vergil.",,36,CL ST 373
1962,,"Heroes of Greece, Rome, and Today: Honors","Cultural and political significance of ancient epic, especially in Greece and Rome. Course may include study of the heroic code in antiquity and its modern expressions including in film. Readings in English from authors such as Homer and Vergil.",,36,CL ST 373H
1963,,"Sex, Gender, and Culture in the Ancient Mediterranean World","Chronological and topical survey of the status of women and men, focusing on sex and gender issues in the Ancient Mediterranean world; study of constructs of the female and the feminine. Readings from ancient and modern sources.  Emphasis on ancient Greece, Rome, and Egypt.",,36,CL ST 374
1964,,Classical Archaeology,"Chronological survey of the material culture of the ancient Greece-Roman world and the role of archaeological context in understanding the varied aspects of ancient Greek or Roman culture. Among other topics, economy, architecture, arts and crafts, trade and exchange, religion and burial customs will be explored.",,36,CL ST 376
1965,,Classical Archeology: Bronze Age and Early Iron Age Greece,"Bronze Age (Minoan and Mycenaean palatial cultures) and Early Iron Age Greece. (ca 3000-700 BCE). Chronological survey of the material culture of the ancient Greece-Roman world and the role of archaeological context in understanding the varied aspects of ancient Greek or Roman culture. Among other topics, economy, architecture, arts and crafts, trade and exchange, religion and burial customs will be explored.",,36,CL ST 376A
1966,,Classical Archeology: Archaic through Hellenistic Greece (ca 700-30 BCE),"Chronological survey of the material culture of the ancient Greece-Roman world and the role of archaeological context in understanding the varied aspects of ancient Greek or Roman culture. Among other topics, economy, architecture, arts and crafts, trade and exchange, religion and burial customs will be explored.",,36,CL ST 376B
1967,,Classical Archaeology: Roman Archaeology (ca 1000 BCE-400 CE),"Chronological survey of the material culture of the ancient Roman world and the role of archaeological context in understanding the varied aspects of ancient Roman culture. Among other topics, economy, architecture, arts and crafts, trade and exchange, religion and burial customs will be explored.",,36,CL ST 376C
1968,,Greek and Roman Art,Greek art from Neolithic to Hellenistic periods. Roman art from the traditional founding to the end of the empire in the West.,,36,CL ST 383
1969,,Greek and Roman Art: Honors,Greek art from Neolithic to Hellenistic periods. Roman art from the traditional founding to the end of the empire in the West.,,36,CL ST 383H
1970,,Roman Italy: An Introduction,"Introduction to the topography, history, archaeology, monuments, and art of Rome from the Regal period through late Antiquity; attention given to the culture of modern Italy, preparatory to study abroad in Rome.",,36,CL ST 384
1971,,Study Abroad: Roman Italy: Building the Empire,"Supervised on-site instruction in the history, archaeology, monuments, and art of Rome and environs from the 8th center BCE to the 5th century CE; attention given to the culture of modern Italy.",,36,CL ST 385
1972,,The Archaeology of Greece: An Introduction,"Introduction to the topography, history, archaeology, monuments and art of Greece from the Bronze Age through the Ottoman period; attention given to the culture of modern Greece, preparatory to study abroad in Greece (CL ST 395).",,36,CL ST 394
1973,,Study Abroad: The Archaeology of Greece,"Supervised on-site instruction in the archaeology, monuments, and art of Greece from the Bronze Age through the Ottoman period; attention given to the culture of modern Greece.",,36,CL ST 395
1974,,Greek Civilization,"Ancient Greece from the Bronze Age to the Hellenistic period; evolution of the Greek polis and its   cultural contributions, with a particular emphasis on the writings of Herodotus and Thucydides.",,36,CL ST 402
1975,,Roman Civilization,Ancient Rome from the Regal Period to the fall of the Western Empire; evolution of Roman institutions and Rome's cultural contributions studied through original sources.,,36,CL ST 403
1976,,Foundations of Western Political Thought,"Study of original texts in political thought ranging from the classical period to the renaissance. Topics such as justice, freedom, virtue, the allocation of political power, the meaning of democracy, human nature, and natural law.",,36,CL ST 430
1977,,Seminar in Classical Studies,Advanced study of a selected topic in Classical Studies. Research paper or project selected by the student.,,36,CL ST 480
1978,,Independent Study,"Designed to meet the needs of students who wish to study specific topics in classical civilization in areas where courses are not offered, or to pursue such study beyond the limits of existing courses.",,36,CL ST 490
1979,,Proseminar in European History,Readings in European history.,,36,CL ST 512
1980,,"Proseminar in European History, Ancient",Readings in European history.,,36,CL ST 512A
1981,,Greek and Roman Art,Greek art from Neolithic and Hellenistic periods. Roman art from the traditional founding to the end of the empire in the West.,,36,CL ST 583
1982,,Seminar in European History,Topics vary each time offered.,,36,CL ST 594
1983,,Seminar in European History: Ancient,Topics vary each time offered.,,36,CL ST 594A
1984,,Introduction to Communication Disorders,"Survey of nature, causes, and types of major communication disorders including phonological, adult and child language, voice, cleft palate, fluency, and hearing disorders.",,37,CMDIS 275
1985,,Communicating with the Deaf,"Learn to communicate with the deaf using Signed English and Signed Pidgin English.  Other topics covered include types, causes, and consequences of hearing loss, hearing technology (hearing aids, assistive listening devices, and cochlear implants), education of hearing-impaired children, Deaf culture, and the history of manual communication.",,37,CMDIS 286
1986,,Phonetics and Phonology,"Analysis of speech through study of individual sounds, their variations, and relationships in context; English phonology; practice in auditory discrimination and transcription of sounds of American English; description of speech sounds in terms of their production, transmission, and perception.",,37,CMDIS 371
1987,,Language and Reading Development in Children,"Theories and developmental processes related to the components of language(semantics, syntax, morphology, phonology, and pragmatics); the development of metalinguistic knowledge; theories and developmental processes of reading.",,37,CMDIS 471
1988,,Topics in Communication Disorders,Guided examination of topics in preparation for graduate work in Speech-Language Pathology or Audiology. Primary course delivery by WWW.,,37,CMDIS 480
1989,,Topics in Communication Disorders: Anatomy and Physiology of Speech and Hearing,Guided examination of topics in preparation for graduate work in Speech-Language Pathology or Audiology. Primary course delivery by WWW.,,37,CMDIS 480A
1990,,Topics in Communication Disorders: Articulation and Phonological Disorders,Guided examination of topics in preparation for graduate work in Speech-Language Pathology or Audiology. Primary course delivery by WWW.,,37,CMDIS 480B
1991,,Topics in Communication Disorders: Evaluation and diagnosis of communication disorders,Guided examination of topics in preparation for graduate work in Speech-Language Pathology or Audiology. Primary course delivery by WWW.,,37,CMDIS 480C
1992,,Introduction to Communication Studies,"An introduction to communication theory, the development and functions of communication, and a survey of verbal, nonverbal, interpersonal, small group, organizational, and intercultural communication.",,38,COMST 101
1993,,Introduction to Communication Studies: Laboratory,"Laboratory component of COMST 101. Skill building, experiential activities,  and in-depth discussions relevant to the study of communication.",,38,COMST 101L
1994,,Introduction to Interpersonal Communication,"Application of communication principles, theory, and research to the process of interpersonal communication; includes verbal and nonverbal communication, listening, and conflict management. Particular emphasis given to using communication to manage interpersonal relationships.",,38,COMST 102
1995,,Orientation to Communication Studies,"Orientation to Communication Studies discipline, program requirements and career opportunities. Required of communication studies majors.   Offered on a satisfactory-fail basis only.",,38,COMST 104
1996,,Introduction to Communication Research Methods,An introduction to analyzing and conducting communication research. Provides an overview of quantitative and qualitative approaches to communication research.,,38,COMST 203
1997,,Professional Communication,"Communication theory and skill development in organizational settings. Emphasis on interpersonal skill development, team and meeting facilitation, informational interviewing, individual and team presentations, and self-assessment.",,38,COMST 214
1998,,Conflict Management,"Exploration of communication theories, principles and methods associated with effective conflict management.",,38,COMST 218
1999,,Human Communication Theory,"Examination of the major theories related to human communication;  with particular emphasis on theories underlying interpersonal, small group, organizational, and intercultural communication.",,38,COMST 301
2000,,Intercultural Communication,"Examines the theories, principles and research on intercultural communication to enhance cultural sensitivity and to recognize, accept, and adapt to cultural diversity. Interactive assignments.",,38,COMST 310
2001,,Studies in Interpersonal Communication,This class focuses on studies of contemporary interpersonal communication concepts and theories. Emphasis on research that examines issues central to communication in interpersonal relationships.,,38,COMST 311
2002,,Leadership Communication Theories,"Investigation of theories, research and principles of leadership communication. Exploration of the contexts in which leadership and communication occurs, with emphasis on the connection between communication and leadership and the dyadic linkage of leader and follower.",,38,COMST 313
2003,,Organizational Communication,"Theory and research in organizational communication. Provides strategies for assessing and improving individual and organizational communication effectiveness. Addresses issues such as technology, diversity, work-life negotiation, emotional labor, conflict, socialization, and socially responsible organizations. Explores how organizational meaning is created and sustained through human communication.",,38,COMST 314
2004,,Small Group Communication,Theory and research in small group communication; application to group decision-making and leadership. Includes communication analyses of groups and teams.,,38,COMST 317
2005,,Communication Training and Development,"Theories and approaches to communication training and development; includes adult learning theory. Emphasis on the design, presentation and assessment of communication skills in organizational contexts.",,38,COMST 319
2006,,Nonverbal Communication,"Approaches to studying nonverbal communication. Foci include topics such as emotion, gestures, gaze, use of space, and parsing intention in social interaction.",,38,COMST 325
2007,,Computer Mediated Communication,Theories and approaches related to mediated communication in interpersonal and organizational settings. Focus on how new technology impacts human interaction and relationships.,,38,COMST 330
2008,,Applied Organizational Communication,"Theory and research of micro-level organizational communication, including interpersonal and small group interactions taking place in a professional setting. Topics include interpersonal dynamics in such areas as conflict, generational communication, negotiation, superior/subordinate communication, external communication, and virtual communication. Not available for major credit.",,38,COMST 384
2009,,Research Seminar,Capstone communication studies course. Students develop an original research study linked to the study of communication. Data are collected and analyzed. Results are presented in a final research paper and a presentation.,,38,COMST 404
2010,,Special Topics in Communication Studies,Research and theory related to special topics and issues in communication studies.,,38,COMST 450
2011,,Independent Study,Application must be submitted for approval the semester prior to the independent study.,,38,COMST 490
2012,,Research Practicum,Providing research assistance on projects conducted by Communication Studies faculty.,,38,COMST 491
2013,,Professional Internship,100 hours of on-site professional work per credit hour plus completion of the academic requirement set by the internship committee. Application should be submitted in the term prior to the term in which the internship will be served. Internship cannot be used to meet degree requirement in Communication Studies.,,38,COMST 497
2014,,Research Seminar,Capstone communication studies course. Students develop an original research study linked to the study of communication. Data are collected and analyzed. Results are presented in a final research paper and a presentation.,,38,COMST 504
2015,,Special Topics,Application must be submitted for approval the semester prior to the independent study.,,38,COMST 590
2016,,The North American Metropolis,Examination of the evolution of American urban centers from the colonial era to the present. Considers the demographic changes and social movements underway in urban America and explores how an understanding of the history of cities provides us with knowledge that we can use to improve our cities today.,,39,C R P 201
2017,,World Cities and Globalization,"World cities and globalization in developed and developing countries. Topics include globalization, world cities and regions, uneven economic development, the international division of labor, multinational corporations, international environmentalism, tourism, popular culture and place- based identity.",,39,C R P 291
2018,,Environmental Planning,"Comprehensive overview of the field of environmental relationships and the efforts being made to organize, control, and coordinate environmental, aesthetic, and cultural characteristics of land, air, and water.",,39,C R P 293
2019,,Planning Methods Studio,"An introduction to the methods and analytical techniques used by planners to study community change.  Course includes identification of key sources of planning information and data.  Students learn to use quantitative methods for analysis of population, land use, economic and transportation data.  Students learn to apply basic analytic methods to community problems and learn the art of effective written, graphic, and oral presentation of data.",,39,C R P 301
2020,,Urban Geography,"An introduction to urban geography. Study of urban centers, including people and infrastructure. Investigation of the origin and evolution of urban areas and the processes that shape urban change. Topics include urban form, and the social, economic, political, cultural, and institutional factors that shape cities.",,39,C R P 320
2021,,Practicum,"Structured work experience under close supervision of a professional planner. Practical planning experience; relationships between theory and practice, professional responsibilities, and the scope of various planning roles.",,39,C R P 330
2022,,"Rural, Urban and Regional Economics","Firm location with respect to regional resources, transport, scale economies, externalities, and policies. Measures of local comparative advantage and specialization. Spatial markets. Population location considering jobs, wages, commuting, and local amenities. Business, residential, and farm land use and value. Migration. Other topics may include market failure, regulation, the product cycle, theories of rural and urban development, developmental policy, firm recruiting, local public goods and public finance, schools, poverty, segregation, and crime.",,39,C R P 376
2023,,Theory of the Planning Process,"The nature of planning and its relation to social and economic planning; levels of planning, place of planning in decision making; steps in the planning process, uses and limitation of knowledge in planning, relation of facts and values.",,39,C R P 383
2024,,Field Travel,Observation of professional practice and community or regional problems and issues.   Offered on a satisfactory-fail basis only.,,39,C R P 391
2025,,Professional Work Experience,Approved professional work experience.,,39,C R P 410
2026,,Urban Design and Practice,Principles of urban design and their application to residential and commercial development in studio projects.,,39,C R P 416
2027,,Urban Revitalization,"Planning methods available to further revitalization and preservation efforts, with particular attention to housing and neighborhoods. Relationship between neighborhood change and urban development process; public policy implications.",,39,C R P 417
2028,,Planning in Developing Countries,"Introduction to issues in planning and governance in an international setting. Problems and strategies may include population movement and change, economic globalization, urban growth, rural development, and housing.",,39,C R P 429
2029,,Community Planning Studio,Integration of planning methods and theory in dealing with a community planning problem. Analysis of problem and formulation of strategies for implementation. Preparation of a community planning report.,,39,C R P 432
2030,,Planning in Small Towns,Contemporary planning problems in small towns and the design of viable strategies to enhance their social and economic position in today's society.,,39,C R P 435
2031,,Community Economic Development,The nature and process of economic development in the context of community development. Recent changes and trends and their implications for local and regional development. Selected case studies and applications. Contemporary community economic development issues.,,39,C R P 436
2032,,Site Development,"Introduction to site development including site review. Studio project integrating concept, finance, selection, analysis, and design.",,39,C R P 442
2033,,Transportation Policy and Planning,"Comprehensive overview of key policy issues related to transportation planning and investment in the United States and abroad. Policy issues explored include safety, environmental impact, sustainable communities, and economic development. Policy analysis and planning are studied in conjunction with each policy issue explored. Issues of concern to state, metropolitan, and local governments.",,39,C R P 445
2034,,Introduction to Geographic Information Systems,"Introduction to geographic information systems, including discussions of GIS hardware, software, data structures, data acquisition, data conversion, data presentation, analytical techniques, and implementation procedures. Laboratory emphasizes practical applications and uses of GIS.",,39,C R P 451
2035,,Geographic Data Management and Planning Analysis,"Extensive coverage of geo-relational database concept and design, GIS database creation and maintenance, geographic data manipulation and analysis. GIS output generation and geographic data presentation. Laboratory emphasizes practical applications and uses of GIS.",,39,C R P 452
2036,,GIS Programming and Automation,"Introduction to automated geoprocessing in Geographic Information Systems.  Focus on learning scripting language and object-oriented programming, automation of custom-designed geoprocessing scripts, and application toward student research and/or interests.",,39,C R P 456
2037,,Grant Writing,"A short introduction to effective grant writing for the public and non-profit sectors. Includes identifying appropriate funding sources for an organization, identifying goals and objectives, and budgeting.",,39,C R P 475
2038,,Sustainable Communities,The history and theory of sustainable community planning.  Procedural and substantive dimensions.  Case studies of communities engaged in sustainability planning.  Use and development of indicators.,,39,C R P 484
2039,,Independent Study,Investigation of an approved topic commensurate with student's interest and ability.   Offered on a satisfactory-fail basis only.,,39,C R P 490
2040,,Independent Study: Honors,Investigation of an approved topic commensurate with student's interest and ability.   Offered on a satisfactory-fail basis only.,,39,C R P 490H
2041,,Environmental Law and Planning,"Environmental law and policy as applied in planning at the local and state levels. Brownfields, environmental justice, water quality, air quality, wetland and floodplain management, and local government involvement in ecological protection through land use planning and other programs.",,39,C R P 491
2042,,"Planning Law, Administration and Implementation","The basis in constitutional, common, and statutory law for the powers of plan implementation. Problems of balancing public and private interests as revealed in the study of leading court cases. Administration of planning agencies and programs.",,39,C R P 492
2043,,Senior Seminar in Planning,An advanced forum for seniors that focuses upon recent trends and important issues affecting planning today. Topics addressed will vary. A demonstration of understanding of current issues and their effects upon planning applications is expected.,,39,C R P 494
2044,,Portfolio Development and Review,Should be taken in the final semester of the planning program. Preparation of a portfolio of student work that represents student learning throughout the entire planning program.,,39,C R P 498
2045,,Professional Work Experience,Approved professional work experience.,,39,C R P 510
2046,,Urban Design and Practice,Principles of urban design and their application to residential and commercial development in studio projects.,,39,C R P 516
2047,,Urban Revitalization,"Planning methods available to further revitalization and preservation efforts, with particular attention to housing and neighborhoods. Relationship between neighborhood change and urban development process; public policy implications.",,39,C R P 517
2048,,Middle Eastern Cities,Introduction to basic academic writings on Middle Eastern cities in addition to other contemporary cultural productions of the region. Study of various aspects of Middle Eastern life and the built environments that this life produces.,,39,C R P 519
2049,,Planning in Developing Countries,"Introduction to issues in planning and governance in an international setting. Problems and strategies may include population movement and change, economic globalization, urban growth, rural development, and housing.",,39,C R P 529
2050,,Practicum,"Practical planning experience. Structured work in range of tasks under close supervision of a professional planner. Relationships between theory and practice, exposure to variety of roles in functioning specialties.   Offered on a satisfactory-fail basis only.",,39,C R P 530
2051,,Community Planning Studio,"Comprehension and analysis of various geographic contexts pertinent to community planning and the use of planning theory, tools and techniques in an applied setting. Process of making a community plan: historical patterns, current conditions and strategies for planning.",,39,C R P 532
2052,,Planning in Small Towns,Contemporary planning problems in small towns and the design of viable strategies to enhance their social and economic position in today's society.,,39,C R P 535
2053,,Community Economic Development,The nature and process of economic development in the context of community development. Recent changes and trends and their implications for local and regional development. Selected case studies and applications. Contemporary community economic development issues.,,39,C R P 536
2054,,Site Development,"Introduction to site development including site review. Studio project integrating concept, finance, selection, analysis, and design.",,39,C R P 542
2055,,Transportation Policy and Planning,"Comprehensive overview of key policy issues related to transportation planning and investment in the United States and abroad. Policy issues explored include safety, environmental impact, sustainable communities, and economic development. Policy analysis and planning are studied in conjunction with each policy issue explored. Issues of concern to state, metropolitan, and local governments.",,39,C R P 545
2056,,Introduction to Geographic Information Systems,"Introduction to geographic information systems, including discussions of GIS hardware, software, data structures, data acquisition, data conversion, data presentation, analytical techniques, and implementation procedures. Laboratory emphasizes practical applications and uses of GIS.",,39,C R P 551
2057,,Geographic Data Management and Planning Analysis,"Extensive coverage of geo-relational database concept and design, GIS database creation and maintenance, geographic data manipulation and analysis. GIS output generation and geographic data presentation. Laboratory emphasizes practical applications and uses of GIS.",,39,C R P 552
2058,,Analytical Planning/GIS,"Integration of exploratory, participatory and predictive spatial analyses and 3D visualization into the planning process. GIS tools and techniques are used to automate decision analysis and facilitate future planning in analyzing and visualizing planning actions. Laboratory emphasizes practical uses of GIS tools and techniques.",,39,C R P 553
2059,,GIS Programming and Automation,"Introduction to automated geoprocessing in Geographic Information Systems.  Focus on learning scripting language and object-oriented programming, automation of custom-designed geoprocessing scripts, and application toward student research and/or interests.",,39,C R P 556
2060,,Planning Theory for Practice,"Use and development of theory/action relationship in planning practice. Competing normative theories of planning and their evolution, key components and fundamental critiques. Exploration of planning frameworks and approaches, including comprehensive planning; incrementalism; advocacy; communicative rationality; and others.",,39,C R P 561
2061,,Planning the American Metropolis,"Focus on the historical role of planning in the shaping of American cities and regions, from the beginning of the Republic to the present. Examine the legacy of planning by exploring the intersection of design, politics and policy. Investigate the factors and the processes that produce the built environment.",,39,C R P 563
2062,,Introduction to Analytical Methods for Planning,"Applications of analytical methods in planning with emphasis on the collection, description, analysis, presentation, and interpretation of planning data. Introduction to descriptive statistics. Sources of planning information and data including primary and secondary data types and sources. Demographic analysis, population projection techniques for planning at local and regional levels.",,39,C R P 564
2063,,Values and Decision Making,"Principles and methods for analyzing communities and regions as social political, economic, and ecological systems. Exploration of relationships between individuals and institutions, the economy and governance. Examination of social values and their manifestation in decision making methods used in planning. Application of decision making tools for planning problems involving economic analysis, power relations, environmental impacts and social impacts. Project evlauation methods.",,39,C R P 566
2064,,Planning and Development,"Exploration and evaluation of the techniques, processes, and professional skills required to effectively manage land use change at various scales. Land classification systems; land supply and needs inventory for residential uses and commercial and employment centers; capacity and needs analysis for public infrastructure. Includes land use planning project(s) designed to apply the methods explored in this and other courses.",,39,C R P 568
2065,,Grant Writing,"A short introduction to effective grant writing for the public and non-profit sectors. Includes identifying appropriate funding sources for an organization, identifying goals and objectives, and budgeting.",,39,C R P 575
2066,,Sustainable Communities,The history and theory of sustainable community planning.  Procedural and substantive dimensions.  Case studies of communities engaged in sustainability planning.  Use and development of indicators.,,39,C R P 584
2067,,Special Topics,,,39,C R P 590
2068,,"Special Topics: Planning Law, Administration and Implementation",,,39,C R P 590A
2069,,Special Topics: Economic Development,,,39,C R P 590B
2070,,Special Topics: Urban Design,,,39,C R P 590C
2071,,Special Topics: Housing and Urban Revitalization,,,39,C R P 590D
2072,,Special Topics: Environmental Planning,,,39,C R P 590H
2073,,Special Topics: Land Use and Transportation Planning,,,39,C R P 590I
2074,,Special Topics: International Planning,,,39,C R P 590N
2075,,Special Topics: Spatial Analytical Methods,,,39,C R P 590O
2076,,Special Topics: Planning in Small Towns,,,39,C R P 590P
2077,,Special Topics: Diversity and Equity in Planning,,,39,C R P 590Q
2078,,Special Topics: Geographic Information Systems,,,39,C R P 590R
2079,,Environmental Law and Planning,"Environmental law and policy as applied in planning at the local and state levels. Brownfields, environmental justice, water quality, air quality, wetland and floodplain management, and local government involvement in ecological protection through land use planning and other programs.",,39,C R P 591
2080,,Land Use and Development Regulation Law,An in-depth analysis of the legal constructs that shape the practice of planning and plan implementation in the United States.  An exploration of how land use regulations are applied to reconcile the competing needs and diverse uses of land.  The positive and negative consequences of developing and implementing regulatory controls will be addressed.,,39,C R P 592
2081,,Seminar in GIS Applications/Research,Discussion and demonstration of current GIS applications and research in multiple disciplines.   Offered on a satisfactory-fail basis only.,,39,C R P 595
2082,,Professional Planning Report,"Independent planning project with practical application, including research element.",,39,C R P 599
2083,,Capstone Studio,Synthesis and integration of core planning knowledge into professional work in a team setting.,,39,C R P 698
2084,,Research,,,39,C R P 699
2085,,Community and Natural Resource Management,"Detailed introduction to community resource management.  Theoretical frameworks, methodological investigation, applied practices.  Enhancement of ability of community development professionals to work with communities to plan, develop and monitor conversation and development of natural resources with multiple functions.",,40,C DEV 502
2086,,Community Development I: Principles and Strategies of Community Change,"Analysis of principles and practices of community change and development. Use of case studies to relate community development approaches to conceptual models from diverse disciplines.  Exploration of professional practice principles, and student construction of their personal framework for practicing community development.",,40,C DEV 503
2087,,Community Analysis: Introduction to Methods,"Introduction to research methods relevant to community development. Formulate and begin a research effort, methods of data collection and how conceptual frameworks are used to develop the questions and analyze data. Emphasis on strategies for reporting findings and applying findings in community action and methods of evaluating the entire research process. Significant attention paid to issues of research ethics and inclusiveness.",,40,C DEV 504
2088,,Community Development II: Organizing for Community Change,"Examines role of civil society in community planning efforts. Comparative approach to planning theories and approaches. Focus on change within communities and the roles of government, planners, and citizens in reacting to or shaping change. Dimensions of social capital and the context of change covered.",,40,C DEV 505
2089,,Community and Regional Economic Analysis I,"Introduction to concepts of communities and regions, theories of economic growth, drivers of economic growth, the economic base of a community, sources of growth or decline in the community, roles of local government and institutions, and analytical tools. Strategies for local economic development will also be explored.",,40,C DEV 506
2090,,Introduction to Native Communities,"A base knowledge course. For students currently working within, in partnership with, or considering working with Native communities. Basic understanding within the context of community development of the diversity of the tribal structures and cultures and the unique history and jurisdictional considerations of these nations.  Working with tribes, Federal and Indian relations, and governance and cultural issues.",,40,C DEV 507
2091,,Ecological Economics,"Approaches economy and community by looking at the inherent interdependence, jointness, and potential complimentarity between ecology and economy (utility) of a place.",,40,C DEV 508
2092,,Building Native Community and Economic Capacity,"Focus on non-western approaches to helping Native communities build their capacity. Students will learn to take a participatory, culture-centered, and strength-based approach to development.",,40,C DEV 509
2093,,Indian Country Agriculture and Natural Resources,"Introduction to the historical and contemporary issues related to natural resource management on Native American lands.   Philosophical and economic arguments concerning natural resource conservation, preservation and extraction will be explored.",,40,C DEV 510
2094,,Sustainable Communities,"Students will learn the conceptual relationships among Community and Sustainable Development and Sustainable Communities and examine the social, environmental, and economic aspects of sustainable communities. The course includes analysis of public policy impacts on community sustainability, practical actions for enhancing sustainability, and changing power dynamics and reward structures involved in incorporating sustainability into Community Development.",,40,C DEV 512
2095,,Economic Development Strategies and Programs,"Course explores theories of local economic development and addresses the development issues faced by communities in the 21st century. Students will understand and apply concepts from economic development planning, economic analysis, business development, human resource development, community-based development, and high-technology development.",,40,C DEV 513
2096,,Orientation in Community Development,"Introduction to the Community Development program.  Focus on on-line delivery methods, graduate level research and writing, technology skills.",,40,C DEV 520
2097,,Housing and Development,"Review and evaluation of historical and current housing issues, production, and financial systems, including consideration of racial, ethnic, income, and gender issues as they relate to the role of housing developments and programs in community development.",,40,C DEV 521
2098,,Community Leadership and Capacity Building,Defining leadership and applying it to the workplace. Understanding of potential link between leadership and community capacity. Identifying strategies for leadership development in communities.,,40,C DEV 522
2099,,Grantwriting for Community Development Professionals,"Basic Grant Development and Management will introduce students to the grant-getting process and provide an overview of what happens after a project is funded. The following topics will be covered: researching funding sources, generating cutting edge ideas, assessing needs, planning a project, establishing credibility, formulating a sustainable budget, designing an evaluation plan, managing the funded project, and disseminating project results.",,40,C DEV 523
2100,,Non-Profit Management in Community Development,"Understanding of how non-profit organizations are run in order that they may participate more fully   in community development efforts. Learning skills necessary to assist organizations to manage   community development projects and programs, such as, budgeting, planning, personnel, facilities,   volunteer management, and fundraising.",,40,C DEV 524
2101,,Role of Tribal Colleges in Economic Development,Focus on role of tribally-chartered colleges and universities in economic development within Native communities. Social capital analytic framework to examine and evaluate tribal college model of economic development.,,40,C DEV 525
2102,,Immigration and Community Inclusion,"Mechanisms for community inclusion and exclusion in relation to immigration will be examined. Aspects of ethnicity, religion, occupation and transnationalism are addressed in terms of community mechanism for incorporating immigrants as community assets.",,40,C DEV 526
2103,,Public and Non-Profit Budgeting,"Introduction to the fundamental theories and practices of budgeting in the public and non-profit sectors. Topics covered include overview of budgeting and budget reform, taxation, expenditures, budget preparation and adoption, budget implementation, and performance budgeting.",,40,C DEV 527
2104,,Evaluation of Organizations and Programs,"Introduction to the philosophy, techniques, and methodologies of organizational and program evaluation. Overview of program evaluation and theory, techniques to evaluate program processes and performance, evaluation designs, assessing program efficiency, models to diagnose organizations, and methods to assess organizational performance.",,40,C DEV 528
2105,,Toward Ethical Engagement,Understanding what ethics are and identify ethical dimensions of a problem. Ability to employ ethical analysis and engagement strategies in public problem-solving.,,40,C DEV 530
2106,,Community and Regional Economic Analysis II,Substantive grounding in the theories and practice of measuring community economic dynamics; build solid foundation skills for applied community economic analysis.,,40,C DEV 532
2107,,The Policy and Politics of Coastal Areas,"Exploration of political implications of coastal policy. Issues include: ""Carrying capacity,"" zoning, regulation of human development activities, tradeoffs between conservation and jobs, the quality of coastal lifestyle, ways in which citizens participate in policy for coastal areas.",,40,C DEV 542
2108,,Special Topics in Community Development,"Special topics in Community Development. Independent Study, must get instructor approval.",,40,C DEV 590
2109,,Creative Component,Students work with major professor to conduct research and carry out work on their creative component. Instructor permission required.,,40,C DEV 599
2110,,Thesis Research,Thesis Research.,,40,C DEV 699
2111,,Complex Adaptive Systems Seminar,"Understanding core techniques in artificial life is based on basic readings in complex adaptive systems. Techniques of complex system analysis methods including: evolutionary computation, neural nets, agent based simulations (agent based computational economics). Large-scale simulations are to be emphasized, e.g. power grids, whole ecosystems.",,41,CAS 502
