"CH E 545","CH E 358, MATH 267"
"CH E 547","CH E 382 and CHEM 331 or MAT E 351"
"CH E 554","CH E 357, CH E 381, MATH 267, credit or enrollment in CH E 545"
"CH E 562","CH E 357 or advanced standing in a science major"
"CH E 572","AER E 541 or M E 538"
"CH E 583","CH E 381"
"CH E 587","CH E 382"
"CH E 590",""
"CH E 595",""
"CH E 595A",""
"CH E 595B",""
"CH E 595C",""
"CH E 595D",""
"CH E 595E",""
"CH E 595F",""
"CH E 595G",""
"CH E 595H",""
"CH E 595I",""
"CH E 599",""
"CH E 601",""
"CH E 625","CH E 382, CHEM 331"
"CH E 632","M E 538"
"CH E 642","CH E 545"
"CH E 652","CH E 552 and CH E 553"
"CH E 688","CH E 382"
"CH E 692",""
"CH E 695",""
"CH E 695A",""
"CH E 695B",""
"CH E 695C",""
"CH E 695D",""
"CH E 695E",""
"CH E 695F",""
"CH E 695G",""
"CH E 695H",""
"CH E 695I",""
"CH E 695J",""
"CH E 695K",""
"CH E 695L",""
"CH E 697","Permission of major professor, graduate classification"
"CH E 698","Graduate student classification and permission of instructor"
"CH E 699",""
"CHEM 050","1 year high school algebra"
"CHEM 101","Member of the Chemistry Learning Community."
"CHEM 101A","Member of the Chemistry Learning Community."
"CHEM 101B","Member of the Chemistry Learning Community."
"CHEM 102L","MATH 195 or MATH 140"
"CHEM 110",""
"CHEM 160",""
"CHEM 163","1 year of high school algebra and geometry and Chem 50 or 1 year of high school chemistry; and credit or enrollment in CHEM 163L"
"CHEM 163L","Credit or enrollment for credit in CHEM 163"
"CHEM 167","1 year of high school chemistry or CHEM 50 and MATH 143 pre-calculus or high school equivalent."
"CHEM 167L","Credit or enrollment for credit in CHEM 167"
"CHEM 177","MATH 140 or high school equivalent, and CHEM 50 or 1 year high school chemistry, and credit or enrollment in CHEM 177L. Chemistry and biochemistry majors may consider taking CHEM 201"
"CHEM 177L","Credit or enrollment for credit in CHEM 177"
"CHEM 177N","Credit or enrollment for credit in CHEM 177. For chemistry and biochemistry majors"
"CHEM 178","CHEM 177, CHEM 177L"
"CHEM 178L","CHEM 177L and credit or enrollment for credit in CHEM 178"
"CHEM 201","Co-enrollment in MATH 165 or credit, one year of high school chemistry, and one year high school physics or advanced chemistry. Co-enrollment in CHEM 201L."
"CHEM 201L","Credit or enrollment for credit in CHEM 201"
"CHEM 211","CHEM 163 and CHEM 163L, CHEM 201 and CHEM 201L; or credit or enrollment in CHEM 178; and concurrent enrollment in CHEM 211L"
"CHEM 211L","Credit or enrollment for credit in CHEM 211"
"CHEM 231","CHEM 163, CHEM 163L, or CHEM 177, CHEM 177L; credit or enrollment in CHEM 231L"
"CHEM 231L","Credit or enrollment for credit in CHEM 231; CHEM 163L or CHEM 177L"
"CHEM 298","Permission of the Department cooperative education coordinator; sophomore classification"
"CHEM 299","Permission of staff member with whom student proposes to work"
"CHEM 301","CHEM 324"
"CHEM 316","CHEM 211, CHEM 211L, MATH 166, and concurrent enrollment in CHEM 316L; PHYS 222 recommended"
"CHEM 316L","Credit or enrollment in CHEM 316"
"CHEM 321L","Credit or enrollment in CHEM 324 or CHEM 325."
"CHEM 322L","CHEM 324 or CHEM 325."
"CHEM 324","CHEM 178, MATH 166; PHYS 222 recommended."
"CHEM 325","CHEM 178, MATH 166; PHYS 222 recommended"
"CHEM 331","CHEM 178 or CHEM 201, enrollment in CHEM 331L highly recommended"
"CHEM 331L","CHEM 177L; credit or enrollment for credit in CHEM 331"
"CHEM 332","CHEM 331; enrollment in CHEM 332L highly recommended"
"CHEM 332L","CHEM 331L; credit or enrollment for credit in CHEM 332"
"CHEM 333L","Credit or enrollment for credit in CHEM 331"
"CHEM 334L","CHEM 333L, credit or enrollment for credit in CHEM 332"
"CHEM 398","Permission of the Department cooperative education coordinator; junior classification"
"CHEM 399","Permission of instructor  with whom student proposes to work and junior or senior classification"
"CHEM 401L","CHEM 402"
"CHEM 402","CHEM 301; CHEM 331 recommended"
"CHEM 490","Completion of 6 credits in chemistry at the 300 level or higher and permission of instructor"
"CHEM 498","Permission of the Department cooperative education coordinator; senior classification"
"CHEM 499","Permission of instructor with whom student proposes to work; B average in all chemistry, physics, and mathematics courses"
"CHEM 501L","CHEM 402"
"CHEM 502","CHEM 402; CHEM 331 recommended"
"CHEM 505","CHEM 402 or CHEM 502 and CHEM 324"
"CHEM 511","CHEM 316 and CHEM 316L"
"CHEM 512","CHEM 316 and CHEM 316L; Recommended but not Required CHEM 324, and CHEM 322L"
"CHEM 513","CHEM 316 and CHEM 316L, CHEM 324, CHEM 322L"
"CHEM 516","CHEM 316 and CHEM 316L, CHEM 324, CHEM 322L"
"CHEM 531","CHEM 332"
"CHEM 532","CHEM 531"
"CHEM 537","CHEM 332"
"CHEM 538","CHEM 537"
"CHEM 550","CHEM 332L"
"CHEM 555","Graduate or senior classification."
"CHEM 561","CHEM 324"
"CHEM 562","CHEM 561, credit or enrollment in CHEM 583"
"CHEM 563","CHEM 325"
"CHEM 564","CHEM 505 or CHEM 562"
"CHEM 571","CHEM 301, CHEM 324"
"CHEM 572","CHEM 332"
"CHEM 574","CHEM 301, CHEM 332"
"CHEM 576","CHEM 324"
"CHEM 577",""
"CHEM 578","CHEM 324"
"CHEM 579",""
"CHEM 580","CHEM 324"
"CHEM 583","CHEM 324"
"CHEM 599","Permission of instructor concerned"
"CHEM 600","Permission of instructor"
"CHEM 601","Permission of instructor"
"CHEM 611","Permission of instructor"
"CHEM 619","Permission of instructor"
"CHEM 631","Permission of instructor"
"CHEM 632","CHEM 537"
"CHEM 660","Permission of instructor"
"CHEM 667","Permission of instructor"
"CHEM 699","Permission of instructor"
"CHIN 101",""
"CHIN 102","CHIN 101"
"CHIN 201","CHIN 102"
"CHIN 202","CHIN 201"
"CHIN 272",""
"CHIN 301","CHIN 202 or equivalent"
"CHIN 302","CHIN 301 or equivalent"
"CHIN 304","CHIN 202 or equivalent"
"CHIN 370","ENGL 150 or equivalent"
"CHIN 375","ENGL 250 or equivalent"
"CHIN 403","CHIN 302 or equivalent"
"CHIN 403A","CHIN 302"
"CHIN 403B","CHIN 302 or equivalent"
"CHIN 403C","CHIN 302 or equivalent"
"CHIN 490","6 credits in Chinese and permission of department chair"
"C E 105",""
"C E 111","C E 160, credit or enrollment in ENGR 170 or C E 170, MATH 165"
"C E 120",""
"C E 160","MATH 143 or satisfactory scores on mathematics placement examinations; credit or enrollment in MATH 165"
"C E 170",""
"C E 206","MATH 166, ENGL 250; C E 105; ECON 101 recommended"
"C E 298","Permission of department and Engineering Career Services"
"C E 306","C E 206"
"C E 326","CHEM 177 or CHEM 178, MATH 166, credit or enrollment in E M 378"
"C E 332","E M 324"
"C E 333","C E 332, E M 327"
"C E 334","C E 332, E M 327"
"C E 350","3 credits in statistics, junior classification"
"C E 355","C E 111"
"C E 360","E M 324, credit or enrollment in GEOL 201"
"C E 372","E M 378, a course in statistics from the approved department list"
"C E 382","Credit or enrollment in C E 360"
"C E 383","Credit or enrollment in C E 360"
"C E 388","Junior classification in engineering"
"C E 396","Permission of department and Engineering Career Services, completion of two terms in residence in civil engineering, employment in civil engineering or related field"
"C E 397","Permission of department and Engineering Career Services"
"C E 398","C E 298, permission of department and Engineering Career Services"
"C E 403","Verification of undergraduate application for graduation by the end of the first week of class. Permission of instructor for students who are scheduled for summer graduation"
"C E 417","C E 111"
"C E 420","C E 326, CHEM 178"
"C E 421","C E 326"
"C E 424","Either PHYS 221 or CHEM 178 and either MATH 166 or 3 credits in statistics. Senior classification or above"
"C E 424A","Either PHYS 221 or CHEM 178 and either MATH 166 or 3 credits in statistics. Senior classification or above"
"C E 424B","Either PHYS 221 or CHEM 178 and either MATH 166 or 3 credits in statistics. Senior classification or above"
"C E 424C","C E 524A; PHYS 221 or CHEM 178; MATH 166 or 3 credits in statistics. Senior classification or above."
"C E 424D","Either PHYS 221 or CHEM 178 and either MATH 166 or 3 credits in statistics. Senior classification or above"
"C E 424E","Either PHYS 221 or CHEM 178 and either MATH 166 or 3 credits in statistics. Senior classification or above"
"C E 428","C E 326"
"C E 436","C E 334"
"C E 440","C E 326 or equivalent, MATH 160 or MATH 165, CHEM 167 or higher, BIOL 173 or BIOL 211 or higher, senior or graduate classification"
"C E 446","C E 333, C E 334"
"C E 448","C E 333, C E 334"
"C E 449","Senior classification in Engineering or permission of instructor"
"C E 451","C E 355, STAT 101 or STAT 105"
"C E 453","C E 306, C E 355"
"C E 460","C E 360"
"C E 467","C E 360, C E 382 or C E 383"
"C E 473","C E 372"
"C E 483","C E 360 and C E 382"
"C E 484","C E 382"
"C E 485","C E 306, C E 326, C E 333 or C E 334, C E 355, C E 360, C E 372, C E 382, SP CM 212. Course enrollment limited to final graduating semester."
"C E 488","Junior or higher classification in engineering of science"
"C E 490","Permission of instructor"
"C E 490H","Permission of instructor"
"C E 498","C E 398, permission of department and Engineering Career Services"
"C E 501","Credit or enrollment in CON E 422 or C E 306"
"C E 502","Credit or enrollment in CON E 422"
"C E 503","Credit or enrollment in CON E 422"
"C E 505","C E 334, C E 360, CON E 322 and CON E 340"
"C E 506","CON E 221, credit or enrollment in CON E 422"
"C E 510","CON E 422, ENGR 160 or C E 160 or equivalent"
"C E 520","C E 326, CHEM 178"
"C E 521","C E 326"
"C E 522","C E 521"
"C E 523","C E 520"
"C E 524","Either PHYS 221 or CHEM 178 and either MATH 166 or 3 credits in statistics. Senior classification or above"
"C E 524A","Either PHYS 221 or CHEM 178 and either MATH 166 or 3 credits in statistics. Senior classification or above"
"C E 524B","C E 524A; Either PHYS 221 or CHEM 178 and either MATH 166 or 3 credits in statistics. Senior classification or above"
"C E 524C","C E 524A; PHYS 221 or CHEM 178; MATH 166 or 3 credits in statistics. Senior classification or above."
"C E 524D","C E 524A, C E 524B; Either PHYS 221 or CHEM 178 and either MATH 166 or 3 credits in statistics. Senior classification or above"
"C E 524E","C E 524A, C E 524B; Either PHYS 221 or CHEM 178 and either MATH 166 or 3 credits in statistics. Senior classification or above"
"C E 528","C E 326 or background courses in both environmental chemistry and microbiology; junior or higher standing"
"C E 532","C E 332"
"C E 533","C E 333"
"C E 534","C E 334"
"C E 535","C E 334"
"C E 536","C E 334"
"C E 540","C E 326 or equivalent, MATH 160 or MATH 165, CHEM 167 or higher, BIOL 173 or BIOL 211 or higher, senior or graduate classification"
"C E 541","E M 345 and credit or enrollment in C E 532"
"C E 542","C E 532"
"C E 545","C E 333, C E 334"
"C E 546","C E 333, C E 334"
"C E 547","C E 334, E M 514, MATH 266"
"C E 548","C E 333, C E 334"
"C E 549","Senior classification in Engineering or permission of instructor"
"C E 551","C E 355, STAT 101 or STAT 105"
"C E 552","C E 355"
"C E 553","C E 355"
"C E 556","C E 355, a Statistics course at the 300 level or higher"
"C E 557","C E 355, 3 credits in statistics or probability"
"C E 558","C E 355"
"C E 559","C E 355"
"C E 560","C E 360"
"C E 561","C E 460"
"C E 562","C E 360"
"C E 563","C E 360"
"C E 564","C E 560"
"C E 565","C E 382"
"C E 567","C E 360, C E 382 or C E 383"
"C E 568","C E 360, E M 345"
"C E 569","C E 360"
"C E 570","C E 372"
"C E 571","C E 372"
"C E 572","C E 372"
"C E 573","C E 372"
"C E 576","E M 378 or equivalent"
"C E 581","Graduate classification"
"C E 583","C E 360 and C E 382"
"C E 584","C E 382"
"C E 586","C E 382"
"C E 587","C E 382 or C E 383"
"C E 588","Junior or higher classification in engineering of science"
"C E 590",""
"C E 591","Graduate classification"
"C E 594","CON E 322, CON E 340 or C E 306, and permission of instructor"
"C E 594A","CON E 322, CON E 340 or C E 306, and permission of instructor"
"C E 594B","CON E 322, CON E 340 or C E 306, and permission of instructor"
"C E 594C","CON E 322, CON E 340 or C E 306, and permission of instructor"
"C E 594D","CON E 322, CON E 340 or C E 306, and permission of instructor"
"C E 594E","CON E 322, CON E 340 or C E 306, and permission of instructor"
"C E 594F","CON E 322, CON E 340 or C E 306, and permission of instructor"
"C E 594G","CON E 322, CON E 340 or C E 306, and permission of instructor"
"C E 594J","CON E 322, CON E 340 or C E 306, and permission of instructor"
"C E 594K","CON E 322, CON E 340 or C E 306, and permission of instructor"
"C E 594L","CON E 322, CON E 340 or C E 306, and permission of instructor"
"C E 594M","CON E 322, CON E 340 or C E 306, and permission of instructor"
"C E 594N","CON E 322, CON E 340 or C E 306, and permission of instructor"
"C E 594O","CON E 322, CON E 340 or C E 306, and permission of instructor"
"C E 594P","CON E 322, CON E 340 or C E 306, and permission of instructor"
"C E 594Q","CON E 322, CON E 340 or C E 306, and permission of instructor"
"C E 594R","CON E 322, CON E 340 or C E 306, and permission of instructor"
"C E 594S","CON E 322, CON E 340 or C E 306, and permission of instructor"
"C E 595","Credit or enrollment in C E 501, C E 502, C E 503, or C E 505"
"C E 595A","Credit or enrollment in C E 501, C E 502, C E 503, or C E 505"
"C E 595B","Credit or enrollment in C E 501, C E 502, C E 503, or C E 505"
"C E 595C","Credit or enrollment in C E 501, C E 502, C E 503, or C E 505"
"C E 596","C E 355"
"C E 596A","C E 355"
"C E 596B","C E 355"
"C E 596C","C E 355"
"C E 596D","C E 355"
"C E 596E","C E 355"
"C E 596F","C E 355"
"C E 599",""
"C E 622","Permission of environmental engineering graduate faculty"
"C E 622A","Permission of environmental engineering graduate faculty"
"C E 622B","Permission of environmental engineering graduate faculty"
"C E 622C","Permission of environmental engineering graduate faculty"
"C E 622D","Permission of environmental engineering graduate faculty"
"C E 622E","Permission of environmental engineering graduate faculty"
"C E 650","Permission of Transportation Engineering graduate faculty"
"C E 650A","Permission of Transportation Engineering graduate faculty"
"C E 650B","Permission of Transportation Engineering graduate faculty"
"C E 690",""
"C E 697","Permission of coop advisor, graduate classification"
"C E 699","Pre-enrollment contract required"
"CL ST 201",""
"CL ST 273",""
"CL ST 273H",""
"CL ST 275",""
"CL ST 275H",""
"CL ST 304","Sophomore classification"
"CL ST 310","PHIL 201"
"CL ST 350","ENGL 250"
"CL ST 353","ENGL 250"
"CL ST 367",""
"CL ST 372","CL ST 273 or CL ST 275 or one course in Latin or Greek or ENGL 250"
"CL ST 372H","CL ST 273 or CL ST 275 or one course in Latin or Greek or ENGL 250"
"CL ST 373","CL ST 273 or CL ST 275 or one course in Latin or Greek or ENGL 250."
"CL ST 373H","CL ST 273 or CL ST 275 or one course in Latin or Greek or ENGL 250."
"CL ST 374","Any one course in Cl St, W S, Latin, or Greek"
"CL ST 376",""
"CL ST 376A",""
"CL ST 376B",""
"CL ST 376C",""
"CL ST 383",""
"CL ST 383H",""
"CL ST 384","Enrollment limited to students participating in CL ST 385/HIST 385. Instructor permission required."
"CL ST 385","CL ST 384/HIST 384 and instructor’s permission."
"CL ST 394",""
"CL ST 395","CL ST 394"
"CL ST 402","Sophomore classification"
"CL ST 403","Sophomore classification"
"CL ST 430","6 credits in political science, philosophy, or European history"
"CL ST 480","30 credits in Classical Studies or related courses, permission of Program Chair"
"CL ST 490","7 credits in classical studies at the 200 level or higher; permission of the Program Chair"
"CL ST 512","Permission of instructor."
"CL ST 512A","Permission of instructor"
"CL ST 583","Graduate classification and permission of instructor"
"CL ST 594","Permission of instructor"
"CL ST 594A","Permission of instructor"
"CMDIS 275",""
"CMDIS 286",""
"CMDIS 371","ENGL 219"
"CMDIS 471","CMDIS 275 or PSYCH 230 or ENGL 219 or LING 219"
"CMDIS 480","CMDIS/LING 275, CMDIS/LING 371, and BIOL 255; permission of instructor."
"CMDIS 480A","CMDIS/LING 275, CMDIS/LING 371, and BIOL 255; permission of instructor."
"CMDIS 480B","CMDIS/LING 275, CMDIS/LING 371, and BIOL 255; permission of instructor."
"CMDIS 480C","CMDIS/LING 275, CMDIS/LING 371, and BIOL 255; permission of instructor."
"COMST 101",""
"COMST 101L","Concurrent enrollment in COMST 101."
"COMST 102",""
"COMST 104","Available only for Communication Studies majors"
"COMST 203","COMST 101"
"COMST 214",""
"COMST 218",""
"COMST 301","COMST 101"
"COMST 310","COMST 101, COMST 102, COMST 203, COMST 301"
"COMST 311","COMST 101, COMST 102, COMST 203, COMST 301"
"COMST 313","COMST 101, COMST 102, COMST 203, COMST 301"
"COMST 314","COMST 101, COMST 102, COMST 203, COMST 301"
"COMST 317","COMST 101, COMST 102, COMST 203, COMST 301"
"COMST 319","COMST 101, COMST 102, COMST 203, COMST 301"
"COMST 325","COMST 101, COMST 102, COMST 203, COMST 301"
"COMST 330","COMST 101, COMST 102, COMST 203, COMST 301"
"COMST 384","COMST 101, COMST 102 or equivalent course."
"COMST 404","COMST 301 plus 3 additional communication studies classes from the following list: COMST 310, COMST 311, COMST 313, COMST 314, COMST 317, COMST 319, COMST 325, or COMST 330."
"COMST 450",""
"COMST 490","9 credits in communication studies and junior classification"
"COMST 491","COMST 203, COMST 301 plus permission of instructor."
"COMST 497","12 hours in Communication Studies including COMST 203, COMST 301, and one other 300-level COMST class. Junior Classification.  Application required."
"COMST 504","COMST 301 plus 3 additional communication studies classes from the following list: COMST 310, COMST 311, COMST 313, COMST 314, COMST 317, COMST 319, COMST 325, or COMST 330."
"COMST 590",""
"C R P 201",""
"C R P 291",""
"C R P 293",""
"C R P 301",""
"C R P 320",""
"C R P 330","Major in community and regional planning"
"C R P 331","Major in community and regional planning"
"C R P 376","ECON 101"
"C R P 383","Junior classification"
"C R P 391","CRP major and permission of instructor"
"C R P 410","Permission of department chair"
"C R P 416","C R P 201"
"C R P 417","Junior classification"
"C R P 429",""
"C R P 432","C R P 201, C R P 301, or permission of instructor."
"C R P 435","C R P 201 or Junior classification"
"C R P 436",""
"C R P 442",""
"C R P 445","C E 350 or equivalent. Note: CRP 545 prerequisite: Graduate Classification"
"C R P 451",""
"C R P 452","C R P 451 or equivalent"
"C R P 456","CRP 451/551 or NREM 345 or NREM 546 or GEOL 552"
"C R P 475",""
"C R P 484","Junior classification"
"C R P 490","Written approval of instructor and department chair on required form"
"C R P 490H","Written approval of instructor and department chair on required form"
"C R P 491","6 credits in natural sciences"
"C R P 492","C R P 383"
"C R P 494","Senior classification"
"C R P 498",""
"C R P 510","Permission of department chair"
"C R P 516","C R P 201"
"C R P 517","Junior classification"
"C R P 519","Graduate or Senior classification"
"C R P 529",""
"C R P 530","Graduate classification in Community and Regional Planning"
"C R P 532","C R P 564 or equivalent"
"C R P 535","C R P 201 or Junior classification"
"C R P 536",""
"C R P 542",""
"C R P 545","C E 350 or equivalent. Note: CRP 545 prerequisite: Graduate Classification"
"C R P 551",""
"C R P 552","C R P 451 or equivalent"
"C R P 553","C R P 451/C R P 551"
"C R P 556","CRP 451/551 or NREM 345 or NREM 546 or GEOL 552"
"C R P 561",""
"C R P 563",""
"C R P 564",""
"C R P 566",""
"C R P 568","C R P 564 or equivalent"
"C R P 575",""
"C R P 584","Junior classification"
"C R P 590","Graduate classification and written approval of instructor and department chair on required form"
"C R P 590A","Graduate classification and written approval of instructor and department chair on required form"
"C R P 590B","Graduate classification and written approval of instructor and department chair on required form"
"C R P 590C","Graduate classification and written approval of instructor and department chair on required form"
"C R P 590D","Graduate classification and written approval of instructor and department chair on required form"
"C R P 590H","Graduate classification and written approval of instructor and department chair on required form"
"C R P 590I","Graduate classification and written approval of instructor and department chair on required form"
"C R P 590N","Graduate classification and written approval of instructor and department chair on required form"
"C R P 590O","Graduate classification and written approval of instructor and department chair on required form"
"C R P 590P","Graduate classification and written approval of instructor and department chair on required form"
"C R P 590Q","Graduate classification and written approval of instructor and department chair on required form"
"C R P 590R","Graduate classification and written approval of instructor and department chair on required form"
"C R P 591","6 credits in natural sciences"
"C R P 592",""
"C R P 595","9 credits in GIS Certificate program"
"C R P 599",""
"C R P 698","Permission of instructor."
"C R P 699",""
"C DEV 502",""
"C DEV 503",""
"C DEV 504",""
"C DEV 505",""
"C DEV 506",""
"C DEV 507",""
"C DEV 508",""
"C DEV 509",""
"C DEV 510",""
"C DEV 512",""
"C DEV 513",""
"C DEV 520",""
"C DEV 521","None."
"C DEV 522",""
"C DEV 523",""
"C DEV 524",""
"C DEV 525",""
"C DEV 526",""
"C DEV 527",""
"C DEV 528","C DEV 504 with grade of C or better"
"C DEV 530",""
"C DEV 532","C DEV 506"
"C DEV 542",""
"C DEV 590",""
"C DEV 599",""
"C DEV 699",""
"CAS 502","Admission to CAS minor"
"CAS 503","Admission to CAS minor or related field"
"CPR E 131",""
"CPR E 166",""
"CPR E 185","MATH 143 or satisfactory scores on mathematics placement examinations; credit or enrollment in MATH 165"
"CPR E 186","CPR E 185"
"CPR E 261",""
"CPR E 281","sophomore classification"
"CPR E 288","CPR E 281, COM S 207 or COM S 227 or E E 285"
"CPR E 294","CPR E 166 or E E 166"
"CPR E 298","Permission of department and Engineering Career Services"
"CPR E 308","CPR E 381 or COM S 321"
"CPR E 310","COM S 228"
"CPR E 315","CPR E 310"
"CPR E 329","COM S 309"
"CPR E 330","E E 201, credit or enrollment in E E 230, CPR E 281"
"CPR E 332",""
"CPR E 339","S E 319"
"CPR E 370","C I 201 or  C I 202"
"CPR E 381","CPR E 288"
"CPR E 388","CPR E 288"
"CPR E 394","CPR E 294 or E E 294"
"CPR E 396","Permission of department and Engineering Career Services"
"CPR E 397","Permission of department and Engineering Career Services"
"CPR E 398","CPR E 298, permission of department and Engineering Career Services"
"CPR E 412","COM S 230 or CPR E 310; COM S 311, STAT 330"
"CPR E 416","COM S 309"
"CPR E 418","E E 230 and E E 311"
"CPR E 419","CPR E 308 or COM S 352, COM S 309"
"CPR E 424","MATH 265; MATH 207 or MATH 317"
"CPR E 425","COM S 311, COM S 230, ENGL 250, SP CM 212"
"CPR E 426","CPR E 308 or COM S 321, CPR E 315 or COM S 311"
"CPR E 431","credit or enrollment in CPR E 308 or COM S 352"
"CPR E 435","E E 324, E E 330, E E 332, and either E E 322 or STAT 330"
"CPR E 444","MATH 165 or STAT 401 or equivalent."
"CPR E 450","CPR E 308 or COM S 352"
"CPR E 454","COM S 311, COM S 352"
"CPR E 458","CPR E 308 or COM S 352"
"CPR E 465","E E 330"
"CPR E 466","Student must be within two semesters of graduation and permission of instructor."
"CPR E 467","Student must be within two semesters of graduation or receive permission of instructor."
"CPR E 480","CPR E 381 or COM S 321"
"CPR E 483","CPR E 381"
"CPR E 488","CPR E 381 or COM S 321"
"CPR E 489","CPR E 381 or E E 324"
"CPR E 490","Senior classification in computer engineering"
"CPR E 490H","Senior classification in computer engineering"
"CPR E 491","E E 322 or CPR E 308, completion of 24 credits in the E E core professional program or 29 credits in the Cpr E core professional program, ENGL 314"
"CPR E 492","CPR E 491 or E E 491"
"CPR E 494","CPR E 394 or E E 394, credit or enrollment in CPR E 491 or E E 491"
"CPR E 498","CPR E 398, permission of department and Engineering Career Services"
"CPR E 501","E E 435"
"CPR E 504","E E 435, Credit or Registration for E E 501"
"CPR E 505","E E 501"
"CPR E 506","E E 435 or E E 501 or instructor approval"
"CPR E 507","E E 435 or E E 501"
"CPR E 511","COM S 311"
"CPR E 525","CPR E 308 or MATH 481; experience in scientific programming; knowledge of FORTRAN or C"
"CPR E 526","CPR E 308 or COM S 321, CPR E 315 or COM S 311"
"CPR E 528","CPR E 315 or COM S 311"
"CPR E 530","CPR E 381 or equivalent"
"CPR E 531","CPR E 489 or CPR E 530 or COM S 586 or MIS 535"
"CPR E 532","CPR E 531"
"CPR E 533","MATH 301 or CPR E 310 or COM S 330"
"CPR E 534","Graduate classification; CPR E 531 or INFAS 531"
"CPR E 535","E E 524 or MATH 317 or MATH 407 or COM S 330"
"CPR E 536","CPR E 489 or CPR E 530"
"CPR E 537","Credit or enrollment in CPR E 489 or CPR E 530"
"CPR E 538","COM S 321 or CPR E 381, COM S 352 or CPR E 308"
"CPR E 539",""
"CPR E 541","CPR E 489 or CPR E 530"
"CPR E 542","CPR E 489"
"CPR E 543","Credit or enrollment in CPR E 489 or CPR E 530"
"CPR E 544","MATH 165 or STAT 401 or equivalent"
"CPR E 545","CPR E 381"
"CPR E 546","CPR E 489 or CPR E 530"
"CPR E 547",""
"CPR E 549","COM S 311 and either COM S 228 or COM S 208"
"CPR E 550","CPR E 308 or COM S 352"
"CPR E 554","COM S 311, COM S 352"
"CPR E 556","COM S 309"
"CPR E 557","M E 421, programming experience in C"
"CPR E 558","CPR E 308 or COM S 352"
"CPR E 566","CPR E 465"
"CPR E 567","COM S 228; COM S 330; credit or enrollment in BIOL 315, STAT 430"
"CPR E 569","BCB 567, BBMB 316, GEN 409, STAT 430"
"CPR E 570","BCB 567 or COM S 311, COM S 228, GEN 409, STAT 430"
"CPR E 575","Graduate standing or permission of instructor"
"CPR E 581","CPR E 381"
"CPR E 582","CPR E 381, CPR E 310 and STAT 330"
"CPR E 583","Background in computer architecture, design, and organization"
"CPR E 584",""
"CPR E 585","knowledge of C/C++ programming language."
"CPR E 586","CPR E 489 or CPR E 530"
"CPR E 588","CPR E 308"
"CPR E 590",""
"CPR E 592","Permission of instructor"
"CPR E 594",""
"CPR E 599",""
"CPR E 626","CPR E 526"
"CPR E 632","INFAS 531, INFAS 532, INFAS 534"
"CPR E 681","CPR E 581.  Repeatable with Instructor permission"
"CPR E 697",""
"CPR E 699",""
"COM S 101",""
"COM S 103",""
"COM S 104",""
"COM S 105","COM S 104"
"COM S 105A","COM S 104"
"COM S 105B","COM S 104"
"COM S 106",""
"COM S 107",""
"COM S 108","COM S 107 or equivalent"
"COM S 113",""
"COM S 201",""
"COM S 203",""
"COM S 207","MATH 150 or placement into MATH 140/MATH 141/MATH 142 or higher"
"COM S 208","MIS/COM S 207, credit or enrollment in MATH 151, MATH 160, or MATH 165"
"COM S 227","Placement into MATH 143, 165, or higher; recommended: a previous high school or college course in programming or equivalent experience."
"COM S 228","Minimum of C- in 227, credit or enrollment in MATH 165"
"COM S 230","Minimum of C- in COM S 227 and MATH 165; ENGL 150"
"COM S 252","COM S 107 or COM S 207 or COM S 227"
"COM S 290","Permission of instructor"
"COM S 290H","Permission of instructor"
"COM S 309","Minimum of C- in COM S 228"
"COM S 311","Minimum of C- in COM S 228; MATH 166, ENGL 150, and COM S 230 or CPR E 310"
"COM S 319","COM S 228"
"COM S 321","Minimum of C- in COM S 228, CPR E 281 and ENGL 250"
"COM S 327","COM S 228, credit or enrollment in MATH 166."
"COM S 331","Minimum of C- in COM S 228, MATH 166, and in COM S 230 or CPR E 310;  ENGL 250"
"COM S 336","COM S 327, CoReq MATH 207 or MATH 317"
"COM S 342","Minimum of C- in COM S 228, COM S 230 or CPR E 310"
"COM S 350","MATH 201 or COM S 230"
"COM S 352","COM S 321, and COM S 327; ENGL 250"
"COM S 362","Minimum of C- in COM S 228; ENGL 250"
"COM S 363","Minimum of C- in COM S 228; ENGL 250"
"COM S 398","Permission of department chair"
"COM S 402",""
"COM S 402A","COM S 437"
"COM S 402B","COM S 402A"
"COM S 402C",""
"COM S 409","COM S 309"
"COM S 410","COMS 228, COMS 309, COMS 327"
"COM S 412","COM S 230 or CPR E 310; COM S 311, STAT 330"
"COM S 414","COM S 227 or (COM S 207 or GERON 377 or ARTGR 271) or equivalent."
"COM S 417","COM S 309; COM S 230 or CPR E 310; ENGL 250, SP CM 212"
"COM S 418","COM S 311 or permission of instructor"
"COM S 421","MATH 301 or MATH 207 or MATH 317 or COM S 230"
"COM S 424","MATH 265; MATH 207 or MATH 317"
"COM S 425","COM S 311, COM S 230, ENGL 250, SP CM 212"
"COM S 426","CPR E 308 or COM S 321, CPR E 315 or COM S 311"
"COM S 430","COM S 311, COM S 362 or COM S 363, ENGL 250, SP CM 212"
"COM S 433","Minimum of C- in COM S 331 or consent of the instructor"
"COM S 435","COM S 228, COM S 230 or CPR E 310, COM S 311 or equivalent"
"COM S 437","COM S 336 or permission of instructor"
"COM S 440","COM S 331, COM S 342, ENGL 250, SP CM 212"
"COM S 441","COM S 342 or COM S 440"
"COM S 444","MATH 165 or STAT 401 or equivalent."
